as_of_date,source_reference,position_type,currency,balance,counterparty_reference,product_code,gl_account_code,attributes.balance_ghs,attributes.branch_id
2020-02-29,CASH-BOG,CASH,GHS,26909670.87,CP-BOG,CASH-BOG,GL-1020,26909670.87,ACC-HQ
2020-03-31,CASH-VAULT,CASH,GHS,12463073.22,,CASH-VAULT,GL-1010,12463073.22,ACC-HQ
2020-03-31,CASH-BOG,CASH,GHS,27595086.64,CP-BOG,CASH-BOG,GL-1020,27595086.64,ACC-HQ
2020-04-30,CASH-VAULT,CASH,GHS,11905624.38,,CASH-VAULT,GL-1010,11905624.38,ACC-HQ
2020-04-30,CASH-BOG,CASH,GHS,27169949.17,CP-BOG,CASH-BOG,GL-1020,27169949.17,ACC-HQ
2020-05-31,CASH-VAULT,CASH,GHS,11919978.83,,CASH-VAULT,GL-1010,11919978.83,ACC-HQ
2020-05-31,CASH-BOG,CASH,GHS,28028392.30,CP-BOG,CASH-BOG,GL-1020,28028392.30,ACC-HQ
2020-06-30,CASH-VAULT,CASH,GHS,12296635.29,,CASH-VAULT,GL-1010,12296635.29,ACC-HQ
2020-06-30,CASH-BOG,CASH,GHS,28910933.79,CP-BOG,CASH-BOG,GL-1020,28910933.79,ACC-HQ
2020-07-31,CASH-VAULT,CASH,GHS,12508789.71,,CASH-VAULT,GL-1010,12508789.71,ACC-HQ
2020-07-31,CASH-BOG,CASH,GHS,28535766.92,CP-BOG,CASH-BOG,GL-1020,28535766.92,ACC-HQ
2020-08-31,CASH-VAULT,CASH,GHS,12519450.86,,CASH-VAULT,GL-1010,12519450.86,ACC-HQ
2020-08-31,CASH-BOG,CASH,GHS,27718255.48,CP-BOG,CASH-BOG,GL-1020,27718255.48,ACC-HQ
2020-09-30,CASH-VAULT,CASH,GHS,12891881.45,,CASH-VAULT,GL-1010,12891881.45,ACC-HQ
2020-09-30,CASH-BOG,CASH,GHS,28543952.97,CP-BOG,CASH-BOG,GL-1020,28543952.97,ACC-HQ
2020-10-31,CASH-VAULT,CASH,GHS,12298468.58,,CASH-VAULT,GL-1010,12298468.58,ACC-HQ
2020-10-31,CASH-BOG,CASH,GHS,28069133.99,CP-BOG,CASH-BOG,GL-1020,28069133.99,ACC-HQ
2020-11-30,CASH-VAULT,CASH,GHS,12744383.36,,CASH-VAULT,GL-1010,12744383.36,ACC-HQ
2020-11-30,CASH-BOG,CASH,GHS,29033439.92,CP-BOG,CASH-BOG,GL-1020,29033439.92,ACC-HQ
2020-12-31,CASH-VAULT,CASH,GHS,12857914.19,,CASH-VAULT,GL-1010,12857914.19,ACC-HQ
2020-12-31,CASH-BOG,CASH,GHS,29293113.06,CP-BOG,CASH-BOG,GL-1020,29293113.06,ACC-HQ
2021-01-31,CASH-VAULT,CASH,GHS,12848049.12,,CASH-VAULT,GL-1010,12848049.12,ACC-HQ
2021-01-31,CASH-BOG,CASH,GHS,29312348.49,CP-BOG,CASH-BOG,GL-1020,29312348.49,ACC-HQ
2021-02-28,CASH-VAULT,CASH,GHS,12796073.52,,CASH-VAULT,GL-1010,12796073.52,ACC-HQ
2021-02-28,CASH-BOG,CASH,GHS,29158972.74,CP-BOG,CASH-BOG,GL-1020,29158972.74,ACC-HQ
2021-03-31,CASH-VAULT,CASH,GHS,13629927.11,,CASH-VAULT,GL-1010,13629927.11,ACC-HQ
2021-03-31,CASH-BOG,CASH,GHS,31048605.66,CP-BOG,CASH-BOG,GL-1020,31048605.66,ACC-HQ
2021-04-30,CASH-VAULT,CASH,GHS,13510597.89,,CASH-VAULT,GL-1010,13510597.89,ACC-HQ
2021-04-30,CASH-BOG,CASH,GHS,29918294.13,CP-BOG,CASH-BOG,GL-1020,29918294.13,ACC-HQ
2021-05-31,CASH-VAULT,CASH,GHS,13483693.23,,CASH-VAULT,GL-1010,13483693.23,ACC-HQ
2021-05-31,CASH-BOG,CASH,GHS,29857355.53,CP-BOG,CASH-BOG,GL-1020,29857355.53,ACC-HQ
2021-06-30,CASH-VAULT,CASH,GHS,13466222.78,,CASH-VAULT,GL-1010,13466222.78,ACC-HQ
2021-06-30,CASH-BOG,CASH,GHS,30729140.10,CP-BOG,CASH-BOG,GL-1020,30729140.10,ACC-HQ
2021-07-02,CASH-VAULT,CASH,GHS,13422222.57,,CASH-VAULT,GL-1010,13422222.57,ACC-HQ
2021-07-02,CASH-BOG,CASH,GHS,29716664.23,CP-BOG,CASH-BOG,GL-1020,29716664.23,ACC-HQ
2021-07-09,CASH-VAULT,CASH,GHS,13286057.62,,CASH-VAULT,GL-1010,13286057.62,ACC-HQ
2021-07-09,CASH-BOG,CASH,GHS,30315187.36,CP-BOG,CASH-BOG,GL-1020,30315187.36,ACC-HQ
2021-07-16,CASH-VAULT,CASH,GHS,13229794.55,,CASH-VAULT,GL-1010,13229794.55,ACC-HQ
2021-07-16,CASH-BOG,CASH,GHS,30191690.59,CP-BOG,CASH-BOG,GL-1020,30191690.59,ACC-HQ
2021-07-23,CASH-VAULT,CASH,GHS,13508084.19,,CASH-VAULT,GL-1010,13508084.19,ACC-HQ
2021-07-23,CASH-BOG,CASH,GHS,29904739.02,CP-BOG,CASH-BOG,GL-1020,29904739.02,ACC-HQ
2021-07-30,CASH-VAULT,CASH,GHS,13411244.52,,CASH-VAULT,GL-1010,13411244.52,ACC-HQ
2021-07-30,CASH-BOG,CASH,GHS,30602619.23,CP-BOG,CASH-BOG,GL-1020,30602619.23,ACC-HQ
2021-07-31,CASH-VAULT,CASH,GHS,13338224.01,,CASH-VAULT,GL-1010,13338224.01,ACC-HQ
2021-07-31,CASH-BOG,CASH,GHS,31356114.96,CP-BOG,CASH-BOG,GL-1020,31356114.96,ACC-HQ
2021-08-06,CASH-VAULT,CASH,GHS,13678848.10,,CASH-VAULT,GL-1010,13678848.10,ACC-HQ
2021-08-06,CASH-BOG,CASH,GHS,30244576.54,CP-BOG,CASH-BOG,GL-1020,30244576.54,ACC-HQ
2021-08-13,CASH-VAULT,CASH,GHS,13908526.89,,CASH-VAULT,GL-1010,13908526.89,ACC-HQ
2021-08-13,CASH-BOG,CASH,GHS,29846222.78,CP-BOG,CASH-BOG,GL-1020,29846222.78,ACC-HQ
2021-08-20,CASH-VAULT,CASH,GHS,13751144.90,,CASH-VAULT,GL-1010,13751144.90,ACC-HQ
2021-08-20,CASH-BOG,CASH,GHS,31324084.00,CP-BOG,CASH-BOG,GL-1020,31324084.00,ACC-HQ
2021-08-27,CASH-VAULT,CASH,GHS,13613700.50,,CASH-VAULT,GL-1010,13613700.50,ACC-HQ
2021-08-27,CASH-BOG,CASH,GHS,31057731.68,CP-BOG,CASH-BOG,GL-1020,31057731.68,ACC-HQ
2021-08-31,CASH-VAULT,CASH,GHS,13756651.41,,CASH-VAULT,GL-1010,13756651.41,ACC-HQ
2021-08-31,CASH-BOG,CASH,GHS,31381305.00,CP-BOG,CASH-BOG,GL-1020,31381305.00,ACC-HQ
2021-09-03,CASH-VAULT,CASH,GHS,14220390.67,,CASH-VAULT,GL-1010,14220390.67,ACC-HQ
2021-09-03,CASH-BOG,CASH,GHS,31493305.33,CP-BOG,CASH-BOG,GL-1020,31493305.33,ACC-HQ
2021-09-10,CASH-VAULT,CASH,GHS,14098482.95,,CASH-VAULT,GL-1010,14098482.95,ACC-HQ
2021-09-10,CASH-BOG,CASH,GHS,31217702.57,CP-BOG,CASH-BOG,GL-1020,31217702.57,ACC-HQ
2021-09-17,CASH-VAULT,CASH,GHS,13948233.40,,CASH-VAULT,GL-1010,13948233.40,ACC-HQ
2021-09-17,CASH-BOG,CASH,GHS,31822738.73,CP-BOG,CASH-BOG,GL-1020,31822738.73,ACC-HQ
2021-09-24,CASH-VAULT,CASH,GHS,14203636.62,,CASH-VAULT,GL-1010,14203636.62,ACC-HQ
2021-09-24,CASH-BOG,CASH,GHS,31454153.11,CP-BOG,CASH-BOG,GL-1020,31454153.11,ACC-HQ
2021-09-30,CASH-VAULT,CASH,GHS,14106700.48,,CASH-VAULT,GL-1010,14106700.48,ACC-HQ
2021-09-30,CASH-BOG,CASH,GHS,32178761.91,CP-BOG,CASH-BOG,GL-1020,32178761.91,ACC-HQ
2021-10-01,CASH-VAULT,CASH,GHS,13757789.69,,CASH-VAULT,GL-1010,13757789.69,ACC-HQ
2021-10-01,CASH-BOG,CASH,GHS,30461290.68,CP-BOG,CASH-BOG,GL-1020,30461290.68,ACC-HQ
2021-10-08,CASH-VAULT,CASH,GHS,13616179.42,,CASH-VAULT,GL-1010,13616179.42,ACC-HQ
2021-10-08,CASH-BOG,CASH,GHS,31066950.37,CP-BOG,CASH-BOG,GL-1020,31066950.37,ACC-HQ
2021-10-15,CASH-VAULT,CASH,GHS,13910877.45,,CASH-VAULT,GL-1010,13910877.45,ACC-HQ
2021-10-15,CASH-BOG,CASH,GHS,30803811.84,CP-BOG,CASH-BOG,GL-1020,30803811.84,ACC-HQ
2021-10-22,CASH-VAULT,CASH,GHS,13795520.56,,CASH-VAULT,GL-1010,13795520.56,ACC-HQ
2021-10-22,CASH-BOG,CASH,GHS,30542780.10,CP-BOG,CASH-BOG,GL-1020,30542780.10,ACC-HQ
2021-10-29,CASH-VAULT,CASH,GHS,13664218.74,,CASH-VAULT,GL-1010,13664218.74,ACC-HQ
2021-10-29,CASH-BOG,CASH,GHS,31178368.32,CP-BOG,CASH-BOG,GL-1020,31178368.32,ACC-HQ
2021-10-31,CASH-VAULT,CASH,GHS,13893252.99,,CASH-VAULT,GL-1010,13893252.99,ACC-HQ
2021-10-31,CASH-BOG,CASH,GHS,30762433.34,CP-BOG,CASH-BOG,GL-1020,30762433.34,ACC-HQ
2021-11-05,CASH-VAULT,CASH,GHS,13890948.24,,CASH-VAULT,GL-1010,13890948.24,ACC-HQ
2021-11-05,CASH-BOG,CASH,GHS,30757645.54,CP-BOG,CASH-BOG,GL-1020,30757645.54,ACC-HQ
2021-11-12,CASH-VAULT,CASH,GHS,13734895.67,,CASH-VAULT,GL-1010,13734895.67,ACC-HQ
2021-11-12,CASH-BOG,CASH,GHS,30406499.87,CP-BOG,CASH-BOG,GL-1020,30406499.87,ACC-HQ
2021-11-19,CASH-VAULT,CASH,GHS,13593328.35,,CASH-VAULT,GL-1010,13593328.35,ACC-HQ
2021-11-19,CASH-BOG,CASH,GHS,31018430.20,CP-BOG,CASH-BOG,GL-1020,31018430.20,ACC-HQ
2021-11-26,CASH-VAULT,CASH,GHS,13970976.52,,CASH-VAULT,GL-1010,13970976.52,ACC-HQ
2021-11-26,CASH-BOG,CASH,GHS,30932781.63,CP-BOG,CASH-BOG,GL-1020,30932781.63,ACC-HQ
2021-11-30,CASH-VAULT,CASH,GHS,13697703.63,,CASH-VAULT,GL-1010,13697703.63,ACC-HQ
2021-11-30,CASH-BOG,CASH,GHS,31214823.33,CP-BOG,CASH-BOG,GL-1020,31214823.33,ACC-HQ
2021-12-03,CASH-VAULT,CASH,GHS,13923660.04,,CASH-VAULT,GL-1010,13923660.04,ACC-HQ
2021-12-03,CASH-BOG,CASH,GHS,30822284.34,CP-BOG,CASH-BOG,GL-1020,30822284.34,ACC-HQ
2021-12-10,CASH-VAULT,CASH,GHS,13797665.33,,CASH-VAULT,GL-1010,13797665.33,ACC-HQ
2021-12-10,CASH-BOG,CASH,GHS,31486563.07,CP-BOG,CASH-BOG,GL-1020,31486563.07,ACC-HQ
2021-12-17,CASH-VAULT,CASH,GHS,14046678.09,,CASH-VAULT,GL-1010,14046678.09,ACC-HQ
2021-12-17,CASH-BOG,CASH,GHS,31098297.84,CP-BOG,CASH-BOG,GL-1020,31098297.84,ACC-HQ
2021-12-24,CASH-VAULT,CASH,GHS,13901774.92,,CASH-VAULT,GL-1010,13901774.92,ACC-HQ
2021-12-24,CASH-BOG,CASH,GHS,30771719.10,CP-BOG,CASH-BOG,GL-1020,30771719.10,ACC-HQ
2021-12-31,CASH-VAULT,CASH,GHS,13727692.13,,CASH-VAULT,GL-1010,13727692.13,ACC-HQ
2021-12-31,CASH-BOG,CASH,GHS,31328748.12,CP-BOG,CASH-BOG,GL-1020,31328748.12,ACC-HQ
2022-01-07,CASH-VAULT,CASH,GHS,14023001.32,,CASH-VAULT,GL-1010,14023001.32,ACC-HQ
2022-01-07,CASH-BOG,CASH,GHS,31043772.65,CP-BOG,CASH-BOG,GL-1020,31043772.65,ACC-HQ
2022-01-14,CASH-VAULT,CASH,GHS,14360578.96,,CASH-VAULT,GL-1010,14360578.96,ACC-HQ
2022-01-14,CASH-BOG,CASH,GHS,32711398.29,CP-BOG,CASH-BOG,GL-1020,32711398.29,ACC-HQ
2022-01-21,CASH-VAULT,CASH,GHS,14213273.54,,CASH-VAULT,GL-1010,14213273.54,ACC-HQ
2022-01-21,CASH-BOG,CASH,GHS,31425230.63,CP-BOG,CASH-BOG,GL-1020,31425230.63,ACC-HQ
2022-01-28,CASH-VAULT,CASH,GHS,14513424.52,,CASH-VAULT,GL-1010,14513424.52,ACC-HQ
2022-01-28,CASH-BOG,CASH,GHS,31141627.85,CP-BOG,CASH-BOG,GL-1020,31141627.85,ACC-HQ
2022-01-31,CASH-VAULT,CASH,GHS,13824412.38,,CASH-VAULT,GL-1010,13824412.38,ACC-HQ
2022-01-31,CASH-BOG,CASH,GHS,32508476.37,CP-BOG,CASH-BOG,GL-1020,32508476.37,ACC-HQ
2022-02-04,CASH-VAULT,CASH,GHS,14349699.19,,CASH-VAULT,GL-1010,14349699.19,ACC-HQ
2022-02-04,CASH-BOG,CASH,GHS,31775156.23,CP-BOG,CASH-BOG,GL-1020,31775156.23,ACC-HQ
2022-02-11,CASH-VAULT,CASH,GHS,14178565.46,,CASH-VAULT,GL-1010,14178565.46,ACC-HQ
2022-02-11,CASH-BOG,CASH,GHS,32347186.04,CP-BOG,CASH-BOG,GL-1020,32347186.04,ACC-HQ
2022-02-18,CASH-VAULT,CASH,GHS,14464371.45,,CASH-VAULT,GL-1010,14464371.45,ACC-HQ
2022-02-18,CASH-BOG,CASH,GHS,32032742.20,CP-BOG,CASH-BOG,GL-1020,32032742.20,ACC-HQ
2022-02-25,CASH-VAULT,CASH,GHS,14339100.26,,CASH-VAULT,GL-1010,14339100.26,ACC-HQ
2022-02-25,CASH-BOG,CASH,GHS,31749582.18,CP-BOG,CASH-BOG,GL-1020,31749582.18,ACC-HQ
2022-02-28,CASH-VAULT,CASH,GHS,14121802.87,,CASH-VAULT,GL-1010,14121802.87,ACC-HQ
2022-02-28,CASH-BOG,CASH,GHS,31215060.61,CP-BOG,CASH-BOG,GL-1020,31215060.61,ACC-HQ
2022-03-04,CASH-VAULT,CASH,GHS,14509301.54,,CASH-VAULT,GL-1010,14509301.54,ACC-HQ
2022-03-04,CASH-BOG,CASH,GHS,33103629.61,CP-BOG,CASH-BOG,GL-1020,33103629.61,ACC-HQ
2022-03-11,CASH-VAULT,CASH,GHS,14783576.99,,CASH-VAULT,GL-1010,14783576.99,ACC-HQ
2022-03-11,CASH-BOG,CASH,GHS,32737514.71,CP-BOG,CASH-BOG,GL-1020,32737514.71,ACC-HQ
2022-03-18,CASH-VAULT,CASH,GHS,14604276.81,,CASH-VAULT,GL-1010,14604276.81,ACC-HQ
2022-03-18,CASH-BOG,CASH,GHS,32334574.08,CP-BOG,CASH-BOG,GL-1020,32334574.08,ACC-HQ
2022-03-25,CASH-VAULT,CASH,GHS,14430738.56,,CASH-VAULT,GL-1010,14430738.56,ACC-HQ
2022-03-25,CASH-BOG,CASH,GHS,32926287.56,CP-BOG,CASH-BOG,GL-1020,32926287.56,ACC-HQ
2022-03-31,CASH-VAULT,CASH,GHS,14832009.58,,CASH-VAULT,GL-1010,14832009.58,ACC-HQ
2022-03-31,CASH-BOG,CASH,GHS,32845373.54,CP-BOG,CASH-BOG,GL-1020,32845373.54,ACC-HQ
2022-04-01,CASH-VAULT,CASH,GHS,14036848.73,,CASH-VAULT,GL-1010,14036848.73,ACC-HQ
2022-04-01,CASH-BOG,CASH,GHS,32032719.06,CP-BOG,CASH-BOG,GL-1020,32032719.06,ACC-HQ
2022-04-08,CASH-VAULT,CASH,GHS,14336581.66,,CASH-VAULT,GL-1010,14336581.66,ACC-HQ
2022-04-08,CASH-BOG,CASH,GHS,31739745.08,CP-BOG,CASH-BOG,GL-1020,31739745.08,ACC-HQ
2022-04-15,CASH-VAULT,CASH,GHS,14221447.97,,CASH-VAULT,GL-1010,14221447.97,ACC-HQ
2022-04-15,CASH-BOG,CASH,GHS,31478935.33,CP-BOG,CASH-BOG,GL-1020,31478935.33,ACC-HQ
2022-04-22,CASH-VAULT,CASH,GHS,14062528.17,,CASH-VAULT,GL-1010,14062528.17,ACC-HQ
