period_end,net_interest_income_ghs,non_interest_income_ghs,operating_expenses_ghs,provisions_ghs,net_income_ghs
2019-09-30,2680633.57,131211.95,1492261.77,87265.25,1232318.50
2019-10-31,2814579.86,130503.28,1554987.10,612393.59,777702.46
2019-11-30,2774406.87,170343.48,1719816.93,0.00,1224933.42
2019-12-31,3013649.41,137864.19,1960896.68,67255.07,1123361.85
2020-01-31,3292720.66,153512.04,2108349.97,604195.12,733687.61
2020-02-29,2875307.45,135352.07,1595551.70,790978.67,624129.15
2020-03-31,2667079.54,168629.00,1689273.95,595478.33,550956.27
2020-04-30,3473047.29,150261.35,2203686.74,92052.78,1327569.11
2020-05-31,3222696.68,107589.56,1914055.93,629483.05,786747.25
2020-06-30,2706990.83,131503.31,1537463.76,81358.00,1219672.38
2020-07-31,3254755.13,104267.32,1905881.71,922630.16,530510.59
2020-08-31,3029328.65,173918.89,1846704.92,550593.07,805949.56
2020-09-30,2948977.04,141221.33,1612358.96,292152.43,1185686.98
2020-10-31,3062354.44,181642.45,1889225.28,0.00,1354771.60
2020-11-30,3541910.37,161287.21,2279583.03,1861997.56,-438383.01
2020-12-31,3017943.57,136414.64,1655187.44,854995.05,644175.73
2021-01-31,3063317.63,185962.09,1897205.93,9931.10,1342142.68
2021-02-28,3620468.79,159109.51,2296968.24,91619.70,1390990.37
2021-03-31,3020524.72,147661.22,1681858.38,802460.74,683866.82
2021-04-30,3664947.38,162878.87,2321515.38,58401.17,1447909.71
2021-05-31,3667724.68,165263.61,2314659.71,3094612.01,-1576283.44
2021-06-30,3356169.05,157257.47,2177368.38,258848.78,1077209.36
2021-07-31,3410026.64,112805.67,1992154.68,33372.95,1497304.68
2021-08-31,2834553.25,144233.18,1617808.62,260213.97,1100763.84
2021-09-30,3675558.65,127599.03,2096524.34,640170.31,1066463.02
2021-10-31,3750867.17,134123.07,2155854.15,382106.30,1347029.80
2021-11-30,2919120.29,187787.55,1855168.71,498890.70,752848.42
2021-12-31,3204603.45,192999.92,1969976.93,105279.20,1322347.23
2022-01-31,2920169.45,186756.06,1839323.32,214038.45,1053563.75
2022-02-28,3263675.63,201506.92,2031370.76,42387.48,1391424.31
2022-03-31,3276809.63,209923.12,2029488.73,112109.68,1345134.33
2022-04-30,3043312.12,192609.98,1943055.91,309210.61,983655.58
2022-05-31,3634792.85,122761.62,2129573.82,0.00,1627980.65
2022-06-30,3894439.27,138458.01,2221690.16,139905.54,1671301.57
2022-07-31,3983980.31,134191.93,2278726.56,236932.29,1602513.39
2022-08-31,4041543.11,139237.01,2336940.80,119818.91,1724020.40
2022-09-30,3039836.41,203680.06,1948691.53,734109.21,560715.73
2022-10-31,3424705.85,210196.20,2096794.50,36559.03,1501548.52
2022-11-30,3147252.05,157416.67,1789249.51,75684.82,1439734.39
2022-12-31,3126833.93,207554.62,1990439.32,332551.73,1011397.50
2023-01-31,3540901.19,210121.44,2175118.47,204602.99,1371301.17
2023-02-28,3186166.82,209925.76,2034075.15,196542.30,1165475.13
2023-03-31,3502984.38,223712.61,2185253.15,458614.06,1082829.78
2023-04-30,3854791.42,181821.70,2499793.86,627917.27,908901.98
2023-05-31,3262264.25,208999.88,2084208.08,296718.33,1090337.72
2023-06-30,3818803.73,194707.48,2510651.08,68694.86,1434165.27
2023-07-31,4219518.01,147544.09,2405044.82,729882.80,1232134.49
2023-08-31,4205316.66,147406.98,2409186.46,250317.61,1693219.57
2023-09-30,4248841.59,202022.53,2701551.08,773158.08,976154.96
2023-10-31,3292965.68,219609.33,2111258.82,432085.55,969230.63
2023-11-30,4034327.85,195740.58,2642946.43,104219.25,1482902.76
2023-12-31,3329004.85,174196.05,1895874.14,58376.38,1548950.37
2024-01-31,4043432.91,146255.08,2395155.01,144973.40,1649559.58
2024-02-29,3689226.57,239004.32,2306386.83,1923989.18,-302145.12
2024-03-31,3226093.76,171280.15,1833965.52,461526.12,1101882.27
2024-04-30,4419611.35,218484.23,2838696.07,143328.74,1656070.76
2024-05-31,3842950.62,233579.37,2361693.10,499505.15,1215331.74
2024-06-30,4076671.62,210874.56,2685371.03,180913.74,1421261.42
2024-07-31,4293877.79,200931.01,2770483.00,227430.46,1496895.35
2024-08-31,4283557.93,156453.64,2532917.44,6983.44,1900110.68
2024-09-30,3537857.55,182747.67,2027799.90,474647.33,1218157.99
2024-10-31,4322808.64,202433.51,2818456.27,455350.73,1251435.13
2024-11-30,4007506.58,189073.48,2209060.88,0.00,1987519.18
2024-12-31,3690604.48,187021.66,2107412.26,478252.87,1291961.01
2025-01-31,4150018.33,196379.83,2308712.59,57879.17,1979806.40
2025-02-28,3752972.07,182381.74,2107347.61,375560.64,1452445.56
2025-03-31,3633341.08,184040.31,2061296.54,429699.52,1326385.33
2025-04-30,4153333.78,199819.37,2273583.88,0.00,2079569.26
2025-05-31,4928799.41,236241.96,3161518.94,1197161.13,806361.30
2025-06-30,4488134.09,223962.99,2963515.82,400084.76,1348496.50
2025-07-31,4576593.54,225254.13,3006680.88,322514.30,1472652.49
2025-08-31,4616808.84,215940.84,3009251.05,308437.38,1515061.25
2025-09-30,4130153.83,207166.50,2279172.34,1266179.57,791968.42
2025-10-31,3911569.81,200569.57,2231119.04,915219.13,965801.21
2025-11-30,4351783.53,266984.49,2658089.06,601605.79,1359073.17
2025-12-31,5238483.96,234127.71,3324631.28,266872.47,1881107.93
2026-01-31,5268272.38,238464.46,3322151.13,1132619.13,1051966.58
2026-02-28,4438802.34,212884.76,2428800.74,47553.96,2175332.40
2026-03-31,5219438.86,253759.88,3343428.00,2788298.69,-658527.95
2026-04-30,4923131.43,231997.31,3230711.42,666586.72,1257830.60
2026-05-31,4936719.82,236451.79,3228271.34,231308.92,1713591.34
2026-06-30,4799396.83,181575.35,2842070.04,171332.06,1967570.07
2026-07-31,4504999.96,212687.90,2480931.14,1683297.90,553458.81
2026-08-31,4103207.78,210313.59,2342951.57,278391.31,1692178.50
