as_of_date,capital_component,amount_ghs,tier
2018-07-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-08-31,paid_up_capital,22000000.00,CET1
2018-08-31,statutory_reserves,12683311.43,CET1
2018-08-31,retained_earnings,11963863.34,CET1
2018-08-31,credit_risk_reserve,1170714.76,CET1
2018-08-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-09-30,paid_up_capital,22000000.00,CET1
2018-09-30,statutory_reserves,12860709.59,CET1
2018-09-30,retained_earnings,12170827.86,CET1
2018-09-30,credit_risk_reserve,1157870.95,CET1
2018-09-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-10-31,paid_up_capital,22000000.00,CET1
2018-10-31,statutory_reserves,13044021.02,CET1
2018-10-31,retained_earnings,12384691.20,CET1
2018-10-31,credit_risk_reserve,1280480.92,CET1
2018-10-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-11-30,paid_up_capital,22000000.00,CET1
2018-11-30,statutory_reserves,13221419.19,CET1
2018-11-30,retained_earnings,12591655.72,CET1
2018-11-30,credit_risk_reserve,1351048.53,CET1
2018-11-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2018-12-31,paid_up_capital,22000000.00,CET1
2018-12-31,statutory_reserves,13404730.62,CET1
2018-12-31,retained_earnings,12805519.05,CET1
2018-12-31,credit_risk_reserve,1361734.23,CET1
2018-12-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-01-31,paid_up_capital,22000000.00,CET1
2019-01-31,statutory_reserves,13588042.05,CET1
2019-01-31,retained_earnings,13019382.39,CET1
2019-01-31,credit_risk_reserve,1515702.59,CET1
2019-01-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-02-28,paid_up_capital,22000000.00,CET1
2019-02-28,statutory_reserves,13753613.67,CET1
2019-02-28,retained_earnings,13212549.28,CET1
2019-02-28,credit_risk_reserve,1572364.36,CET1
2019-02-28,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-03-31,paid_up_capital,22000000.00,CET1
2019-03-31,statutory_reserves,13936925.10,CET1
2019-03-31,retained_earnings,13426412.61,CET1
2019-03-31,credit_risk_reserve,1578282.52,CET1
2019-03-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-04-30,paid_up_capital,22000000.00,CET1
2019-04-30,statutory_reserves,14114323.26,CET1
2019-04-30,retained_earnings,13633377.14,CET1
2019-04-30,credit_risk_reserve,1644457.76,CET1
2019-04-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-05-31,paid_up_capital,22000000.00,CET1
2019-05-31,statutory_reserves,14297634.69,CET1
2019-05-31,retained_earnings,13847240.47,CET1
2019-05-31,credit_risk_reserve,1694399.48,CET1
2019-05-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-06-30,paid_up_capital,22000000.00,CET1
2019-06-30,statutory_reserves,14475032.85,CET1
2019-06-30,retained_earnings,14054204.99,CET1
2019-06-30,credit_risk_reserve,1757083.76,CET1
2019-06-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-07-31,paid_up_capital,22000000.00,CET1
2019-07-31,statutory_reserves,14658344.28,CET1
2019-07-31,retained_earnings,14268068.33,CET1
2019-07-31,credit_risk_reserve,2191183.80,CET1
2019-07-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-08-31,paid_up_capital,22000000.00,CET1
2019-08-31,statutory_reserves,14841655.72,CET1
2019-08-31,retained_earnings,14481931.67,CET1
2019-08-31,credit_risk_reserve,2195536.65,CET1
2019-08-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-09-30,paid_up_capital,22000000.00,CET1
2019-09-30,statutory_reserves,15019053.88,CET1
2019-09-30,retained_earnings,14688896.19,CET1
2019-09-30,credit_risk_reserve,2283314.38,CET1
2019-09-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-10-31,paid_up_capital,22000000.00,CET1
2019-10-31,statutory_reserves,15202365.31,CET1
2019-10-31,retained_earnings,14902759.53,CET1
2019-10-31,credit_risk_reserve,2227260.58,CET1
2019-10-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-11-30,paid_up_capital,22000000.00,CET1
2019-11-30,statutory_reserves,15379763.47,CET1
2019-11-30,retained_earnings,15109724.05,CET1
2019-11-30,credit_risk_reserve,2332054.19,CET1
2019-11-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2019-12-31,paid_up_capital,22000000.00,CET1
2019-12-31,statutory_reserves,15563074.90,CET1
2019-12-31,retained_earnings,15323587.39,CET1
2019-12-31,credit_risk_reserve,2321457.23,CET1
2019-12-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-01-31,paid_up_capital,22000000.00,CET1
2020-01-31,statutory_reserves,15746386.33,CET1
2020-01-31,retained_earnings,15537450.72,CET1
2020-01-31,credit_risk_reserve,2489334.82,CET1
2020-01-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-02-29,paid_up_capital,22000000.00,CET1
2020-02-29,statutory_reserves,15917871.22,CET1
2020-02-29,retained_earnings,15737516.43,CET1
2020-02-29,credit_risk_reserve,2533869.84,CET1
2020-02-29,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-03-31,paid_up_capital,22000000.00,CET1
2020-03-31,statutory_reserves,16101182.65,CET1
2020-03-31,retained_earnings,15951379.76,CET1
2020-03-31,credit_risk_reserve,2553510.28,CET1
2020-03-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-04-30,paid_up_capital,22000000.00,CET1
2020-04-30,statutory_reserves,16278580.81,CET1
2020-04-30,retained_earnings,16158344.28,CET1
2020-04-30,credit_risk_reserve,2590830.01,CET1
2020-04-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-05-31,paid_up_capital,22000000.00,CET1
2020-05-31,statutory_reserves,16461892.25,CET1
2020-05-31,retained_earnings,16372207.62,CET1
2020-05-31,credit_risk_reserve,2677219.85,CET1
2020-05-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-06-30,paid_up_capital,22000000.00,CET1
2020-06-30,statutory_reserves,16639290.41,CET1
2020-06-30,retained_earnings,16579172.14,CET1
2020-06-30,credit_risk_reserve,2756807.89,CET1
2020-06-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-07-31,paid_up_capital,22000000.00,CET1
2020-07-31,statutory_reserves,16822601.84,CET1
2020-07-31,retained_earnings,16793035.48,CET1
2020-07-31,credit_risk_reserve,2928914.40,CET1
2020-07-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-08-31,paid_up_capital,22000000.00,CET1
2020-08-31,statutory_reserves,17005913.27,CET1
2020-08-31,retained_earnings,17006898.82,CET1
2020-08-31,credit_risk_reserve,2935841.94,CET1
2020-08-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-09-30,paid_up_capital,22000000.00,CET1
2020-09-30,statutory_reserves,17183311.43,CET1
2020-09-30,retained_earnings,17213863.34,CET1
2020-09-30,credit_risk_reserve,2988948.98,CET1
2020-09-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-10-31,paid_up_capital,22000000.00,CET1
2020-10-31,statutory_reserves,17366622.86,CET1
2020-10-31,retained_earnings,17427726.68,CET1
2020-10-31,credit_risk_reserve,3191357.95,CET1
2020-10-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-11-30,paid_up_capital,22000000.00,CET1
2020-11-30,statutory_reserves,17544021.02,CET1
2020-11-30,retained_earnings,17634691.20,CET1
2020-11-30,credit_risk_reserve,3283516.60,CET1
2020-11-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2020-12-31,paid_up_capital,22000000.00,CET1
2020-12-31,statutory_reserves,17727332.46,CET1
2020-12-31,retained_earnings,17848554.53,CET1
2020-12-31,credit_risk_reserve,3325430.53,CET1
2020-12-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-01-31,paid_up_capital,22000000.00,CET1
2021-01-31,statutory_reserves,17910643.89,CET1
2021-01-31,retained_earnings,18062417.87,CET1
2021-01-31,credit_risk_reserve,3416257.71,CET1
2021-01-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-02-28,paid_up_capital,22000000.00,CET1
2021-02-28,statutory_reserves,18076215.51,CET1
2021-02-28,retained_earnings,18255584.76,CET1
2021-02-28,credit_risk_reserve,3441718.39,CET1
2021-02-28,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-03-31,paid_up_capital,22000000.00,CET1
2021-03-31,statutory_reserves,18259526.94,CET1
2021-03-31,retained_earnings,18469448.09,CET1
2021-03-31,credit_risk_reserve,3483065.62,CET1
2021-03-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-04-30,paid_up_capital,22000000.00,CET1
2021-04-30,statutory_reserves,18436925.10,CET1
2021-04-30,retained_earnings,18676412.61,CET1
2021-04-30,credit_risk_reserve,3935795.72,CET1
2021-04-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-05-31,paid_up_capital,22000000.00,CET1
2021-05-31,statutory_reserves,18620236.53,CET1
2021-05-31,retained_earnings,18890275.95,CET1
2021-05-31,credit_risk_reserve,3995172.63,CET1
2021-05-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-06-30,paid_up_capital,22000000.00,CET1
2021-06-30,statutory_reserves,18797634.69,CET1
2021-06-30,retained_earnings,19097240.47,CET1
2021-06-30,credit_risk_reserve,3941858.95,CET1
2021-06-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-07-02,paid_up_capital,22000000.00,CET1
2021-07-02,statutory_reserves,18809461.24,CET1
2021-07-02,retained_earnings,19111038.11,CET1
2021-07-02,credit_risk_reserve,4105895.51,CET1
2021-07-02,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-07-09,paid_up_capital,22000000.00,CET1
2021-07-09,statutory_reserves,18850854.14,CET1
2021-07-09,retained_earnings,19159329.83,CET1
2021-07-09,credit_risk_reserve,4036673.31,CET1
2021-07-09,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-07-16,paid_up_capital,22000000.00,CET1
2021-07-16,statutory_reserves,18892247.04,CET1
2021-07-16,retained_earnings,19207621.55,CET1
2021-07-16,credit_risk_reserve,4023018.76,CET1
2021-07-16,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-07-23,paid_up_capital,22000000.00,CET1
2021-07-23,statutory_reserves,18933639.95,CET1
2021-07-23,retained_earnings,19255913.27,CET1
2021-07-23,credit_risk_reserve,4089017.37,CET1
2021-07-23,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-07-30,paid_up_capital,22000000.00,CET1
2021-07-30,statutory_reserves,18975032.85,CET1
2021-07-30,retained_earnings,19304204.99,CET1
2021-07-30,credit_risk_reserve,4030169.80,CET1
2021-07-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-07-31,paid_up_capital,22000000.00,CET1
2021-07-31,statutory_reserves,18980946.12,CET1
2021-07-31,retained_earnings,19311103.81,CET1
2021-07-31,credit_risk_reserve,4032212.85,CET1
2021-07-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-08-06,paid_up_capital,22000000.00,CET1
2021-08-06,statutory_reserves,19016425.76,CET1
2021-08-06,retained_earnings,19352496.71,CET1
2021-08-06,credit_risk_reserve,4046519.52,CET1
2021-08-06,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-08-13,paid_up_capital,22000000.00,CET1
2021-08-13,statutory_reserves,19057818.66,CET1
2021-08-13,retained_earnings,19400788.44,CET1
2021-08-13,credit_risk_reserve,4113567.67,CET1
2021-08-13,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-08-20,paid_up_capital,22000000.00,CET1
2021-08-20,statutory_reserves,19099211.56,CET1
2021-08-20,retained_earnings,19449080.16,CET1
2021-08-20,credit_risk_reserve,4046043.75,CET1
2021-08-20,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-08-27,paid_up_capital,22000000.00,CET1
2021-08-27,statutory_reserves,19140604.47,CET1
2021-08-27,retained_earnings,19497371.88,CET1
2021-08-27,credit_risk_reserve,4235832.19,CET1
2021-08-27,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-08-31,paid_up_capital,22000000.00,CET1
2021-08-31,statutory_reserves,19164257.56,CET1
2021-08-31,retained_earnings,19524967.15,CET1
2021-08-31,credit_risk_reserve,4198009.98,CET1
2021-08-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-09-03,paid_up_capital,22000000.00,CET1
2021-09-03,statutory_reserves,19181997.37,CET1
2021-09-03,retained_earnings,19545663.60,CET1
2021-09-03,credit_risk_reserve,4163344.22,CET1
2021-09-03,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-09-10,paid_up_capital,22000000.00,CET1
2021-09-10,statutory_reserves,19223390.28,CET1
2021-09-10,retained_earnings,19593955.32,CET1
2021-09-10,credit_risk_reserve,4161375.74,CET1
2021-09-10,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-09-17,paid_up_capital,22000000.00,CET1
2021-09-17,statutory_reserves,19264783.18,CET1
2021-09-17,retained_earnings,19642247.04,CET1
2021-09-17,credit_risk_reserve,4292404.90,CET1
2021-09-17,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-09-24,paid_up_capital,22000000.00,CET1
2021-09-24,statutory_reserves,19306176.08,CET1
2021-09-24,retained_earnings,19690538.76,CET1
2021-09-24,credit_risk_reserve,4181475.79,CET1
2021-09-24,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-09-30,paid_up_capital,22000000.00,CET1
2021-09-30,statutory_reserves,19341655.72,CET1
2021-09-30,retained_earnings,19731931.67,CET1
2021-09-30,credit_risk_reserve,4244009.87,CET1
2021-09-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-10-01,paid_up_capital,22000000.00,CET1
2021-10-01,statutory_reserves,19347568.99,CET1
2021-10-01,retained_earnings,19738830.49,CET1
2021-10-01,credit_risk_reserve,4150510.44,CET1
2021-10-01,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-10-08,paid_up_capital,22000000.00,CET1
2021-10-08,statutory_reserves,19388961.89,CET1
2021-10-08,retained_earnings,19787122.21,CET1
2021-10-08,credit_risk_reserve,4272966.68,CET1
2021-10-08,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-10-15,paid_up_capital,22000000.00,CET1
2021-10-15,statutory_reserves,19430354.80,CET1
2021-10-15,retained_earnings,19835413.93,CET1
2021-10-15,credit_risk_reserve,4202322.15,CET1
2021-10-15,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-10-22,paid_up_capital,22000000.00,CET1
2021-10-22,statutory_reserves,19471747.70,CET1
2021-10-22,retained_earnings,19883705.65,CET1
2021-10-22,credit_risk_reserve,4268085.27,CET1
2021-10-22,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-10-29,paid_up_capital,22000000.00,CET1
2021-10-29,statutory_reserves,19513140.60,CET1
2021-10-29,retained_earnings,19931997.37,CET1
2021-10-29,credit_risk_reserve,4259378.99,CET1
2021-10-29,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-10-31,paid_up_capital,22000000.00,CET1
2021-10-31,statutory_reserves,19524967.15,CET1
2021-10-31,retained_earnings,19945795.01,CET1
2021-10-31,credit_risk_reserve,4272992.78,CET1
2021-10-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-11-05,paid_up_capital,22000000.00,CET1
2021-11-05,statutory_reserves,19554533.51,CET1
2021-11-05,retained_earnings,19980289.09,CET1
2021-11-05,credit_risk_reserve,4225680.34,CET1
2021-11-05,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-11-12,paid_up_capital,22000000.00,CET1
2021-11-12,statutory_reserves,19595926.41,CET1
2021-11-12,retained_earnings,20028580.81,CET1
2021-11-12,credit_risk_reserve,4313302.49,CET1
2021-11-12,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-11-19,paid_up_capital,22000000.00,CET1
2021-11-19,statutory_reserves,19637319.32,CET1
2021-11-19,retained_earnings,20076872.54,CET1
2021-11-19,credit_risk_reserve,4190675.83,CET1
2021-11-19,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-11-26,paid_up_capital,22000000.00,CET1
2021-11-26,statutory_reserves,19678712.22,CET1
2021-11-26,retained_earnings,20125164.26,CET1
2021-11-26,credit_risk_reserve,4244943.57,CET1
2021-11-26,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-11-30,paid_up_capital,22000000.00,CET1
2021-11-30,statutory_reserves,19702365.31,CET1
2021-11-30,retained_earnings,20152759.53,CET1
2021-11-30,credit_risk_reserve,4279442.73,CET1
2021-11-30,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-12-03,paid_up_capital,22000000.00,CET1
2021-12-03,statutory_reserves,19720105.12,CET1
2021-12-03,retained_earnings,20173455.98,CET1
2021-12-03,credit_risk_reserve,4321729.36,CET1
2021-12-03,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-12-10,paid_up_capital,22000000.00,CET1
2021-12-10,statutory_reserves,19761498.03,CET1
2021-12-10,retained_earnings,20221747.70,CET1
2021-12-10,credit_risk_reserve,4222729.06,CET1
2021-12-10,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-12-17,paid_up_capital,22000000.00,CET1
2021-12-17,statutory_reserves,19802890.93,CET1
2021-12-17,retained_earnings,20270039.42,CET1
2021-12-17,credit_risk_reserve,4367474.31,CET1
2021-12-17,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-12-24,paid_up_capital,22000000.00,CET1
2021-12-24,statutory_reserves,19844283.84,CET1
2021-12-24,retained_earnings,20318331.14,CET1
2021-12-24,credit_risk_reserve,4316700.76,CET1
2021-12-24,intangible_assets,-1200000.00,CET1_DEDUCTION
2021-12-31,paid_up_capital,22000000.00,CET1
2021-12-31,statutory_reserves,19885676.74,CET1
2021-12-31,retained_earnings,20366622.86,CET1
2021-12-31,credit_risk_reserve,4234689.56,CET1
2021-12-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-01-07,paid_up_capital,22000000.00,CET1
2022-01-07,statutory_reserves,19927069.65,CET1
2022-01-07,retained_earnings,20414914.59,CET1
2022-01-07,credit_risk_reserve,4361596.18,CET1
2022-01-07,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-01-14,paid_up_capital,22000000.00,CET1
2022-01-14,statutory_reserves,19968462.55,CET1
2022-01-14,retained_earnings,20463206.31,CET1
2022-01-14,credit_risk_reserve,4298787.93,CET1
2022-01-14,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-01-21,paid_up_capital,22000000.00,CET1
2022-01-21,statutory_reserves,20009855.45,CET1
2022-01-21,retained_earnings,20511498.03,CET1
2022-01-21,credit_risk_reserve,4236199.54,CET1
2022-01-21,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-01-28,paid_up_capital,22000000.00,CET1
2022-01-28,statutory_reserves,20051248.36,CET1
2022-01-28,retained_earnings,20559789.75,CET1
2022-01-28,credit_risk_reserve,4336019.29,CET1
2022-01-28,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-01-31,paid_up_capital,22000000.00,CET1
2022-01-31,statutory_reserves,20068988.17,CET1
2022-01-31,retained_earnings,20580486.20,CET1
2022-01-31,credit_risk_reserve,4239786.96,CET1
2022-01-31,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-02-04,paid_up_capital,22000000.00,CET1
2022-02-04,statutory_reserves,20092641.26,CET1
2022-02-04,retained_earnings,20608081.47,CET1
2022-02-04,credit_risk_reserve,4250344.33,CET1
2022-02-04,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-02-11,paid_up_capital,22000000.00,CET1
2022-02-11,statutory_reserves,20134034.17,CET1
2022-02-11,retained_earnings,20656373.19,CET1
2022-02-11,credit_risk_reserve,4349675.25,CET1
2022-02-11,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-02-18,paid_up_capital,22000000.00,CET1
2022-02-18,statutory_reserves,20175427.07,CET1
2022-02-18,retained_earnings,20704664.91,CET1
2022-02-18,credit_risk_reserve,4376273.52,CET1
2022-02-18,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-02-25,paid_up_capital,22000000.00,CET1
2022-02-25,statutory_reserves,20216819.97,CET1
2022-02-25,retained_earnings,20752956.64,CET1
2022-02-25,credit_risk_reserve,4241571.13,CET1
2022-02-25,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-02-28,paid_up_capital,22000000.00,CET1
2022-02-28,statutory_reserves,20234559.79,CET1
2022-02-28,retained_earnings,20773653.09,CET1
2022-02-28,credit_risk_reserve,4329264.48,CET1
2022-02-28,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-03-04,paid_up_capital,22000000.00,CET1
2022-03-04,statutory_reserves,20258212.88,CET1
2022-03-04,retained_earnings,20801248.36,CET1
2022-03-04,credit_risk_reserve,4351253.47,CET1
2022-03-04,intangible_assets,-1200000.00,CET1_DEDUCTION
2022-03-11,paid_up_capital,22000000.00,CET1
