date,deposit_inflow_ghs,deposit_outflow_ghs,net_cashflow_ghs
2016-10-31,5440714.52,6165646.40,-724931.88
2016-11-01,6591392.25,7495060.61,-903668.36
2016-11-02,5049556.34,5697923.98,-648367.64
2016-11-03,7001217.99,7961711.88,-960493.89
2016-11-04,10956381.81,8705476.27,2250905.54
2016-11-05,9714653.61,7779526.77,1935126.84
2016-11-07,7046615.63,7981355.45,-934739.82
2016-11-08,10935279.10,8634451.75,2300827.34
2016-11-09,9723387.05,7847407.23,1875979.82
2016-11-10,5251789.36,5958541.49,-706752.12
2016-11-11,7262657.69,8224604.99,-961947.30
2016-11-12,8871797.88,7110329.81,1761468.06
2016-11-14,6791575.40,7707271.15,-915695.75
2016-11-15,5689190.09,6433357.02,-744166.93
2016-11-16,8927588.28,7116600.66,1810987.62
2016-11-17,11214726.44,8953188.65,2261537.79
2016-11-18,6802851.00,7764986.63,-962135.63
2016-11-19,5684736.29,6405968.30,-721232.01
2016-11-21,11542665.46,9224622.03,2318043.43
2016-11-22,9731488.44,7856507.99,1874980.45
2016-11-23,10941184.95,8642166.33,2299018.63
2016-11-24,7051856.77,7990065.51,-938208.73
2016-11-25,5005301.94,5683820.52,-678518.58
2016-11-26,9718788.35,7801057.84,1917730.50
2016-11-28,7004298.58,7984667.82,-980369.24
2016-11-29,5054979.55,5717766.39,-662786.84
2016-11-30,9475345.94,7577330.32,1898015.62
2016-12-01,10638376.01,8434087.94,2204288.07
2016-12-02,5906107.15,6776074.46,-869967.31
2016-12-03,6606108.91,7401149.78,-795040.87
2016-12-05,10076800.75,7951226.50,2125574.24
2016-12-06,5894465.76,6737051.69,-842585.93
2016-12-07,6611986.15,7446980.00,-834993.84
2016-12-08,9977519.18,8078970.03,1898549.16
2016-12-09,10125340.53,7942886.11,2182454.42
2016-12-10,5707668.44,6520347.01,-812678.58
2016-12-12,6099099.02,6987645.66,-888546.64
2016-12-13,5939194.22,6676745.15,-737550.93
2016-12-14,10874864.42,8799547.72,2075316.70
2016-12-15,9837263.20,7743467.20,2093796.00
2016-12-16,6141535.67,7006980.24,-865444.57
2016-12-17,5886180.75,6655164.12,-768983.37
2016-12-19,9817371.34,7676369.01,2141002.32
2016-12-20,6333795.94,7203699.20,-869903.26
2016-12-21,6139178.90,6920242.28,-781063.38
2016-12-22,7252329.83,8203046.96,-950717.13
2016-12-23,5265837.28,5977515.32,-711678.03
2016-12-24,9497964.45,7644246.21,1853718.24
2016-12-26,7279715.14,8289663.57,-1009948.43
2016-12-27,5227052.81,5898615.97,-671563.16
2016-12-28,9397444.63,7531890.87,1865553.76
2016-12-29,10711968.85,8496296.90,2215671.95
2016-12-30,7062862.85,8044625.83,-981762.98
2016-12-31,4974597.13,5616331.16,-641734.03
2017-01-02,5510127.17,6245394.24,-735267.06
2017-01-03,9184999.14,7372698.15,1812300.99
2017-01-04,11523105.12,9167523.66,2355581.46
2017-01-05,6608461.56,7557527.12,-949065.56
2017-01-06,5415940.26,6104921.43,-688981.17
2017-01-07,9154230.55,7321419.49,1832811.06
2017-01-09,6802577.55,7760853.24,-958275.69
2017-01-10,5658408.38,6362836.49,-704428.11
2017-01-11,6190038.20,6993280.44,-803242.24
2017-01-12,6300711.21,7173701.86,-872990.66
2017-01-13,9543378.33,7453825.17,2089553.16
2017-01-14,10601203.17,8611996.85,1989206.32
2017-01-16,6380065.42,7302435.84,-922370.42
2017-01-17,9562116.69,7491325.22,2070791.47
2017-01-18,10568102.37,8544174.87,2023927.50
2017-01-19,5880645.40,6600398.38,-719752.98
2017-01-20,6124962.23,7015118.42,-890156.19
2017-01-21,6394970.80,7216775.53,-821804.73
2017-01-23,10338790.54,8141908.73,2196881.81
2017-01-24,10349894.89,8392035.80,1957859.10
2017-01-25,6353619.50,7121324.27,-767704.77
2017-01-26,5699477.19,6556523.53,-857046.34
2017-01-27,10426171.10,8241297.79,2184873.31
2017-01-28,10243335.83,8261336.59,1981999.25
2017-01-30,5932348.14,6804175.55,-871827.41
2017-01-31,5716645.84,6438736.55,-722090.70
2017-02-01,6777056.93,7734229.34,-957172.41
2017-02-02,11255273.19,8985138.23,2270134.96
2017-02-03,8898495.91,7088749.40,1809746.50
2017-02-04,5657287.87,6400476.07,-743188.21
2017-02-06,11229775.01,8897000.71,2332774.29
2017-02-07,8900887.17,7138237.01,1762650.16
2017-02-08,5459221.52,6173263.01,-714041.49
2017-02-09,6556590.10,7440828.56,-884238.46
2017-02-10,5031999.22,5690730.92,-658731.69
2017-02-11,7036814.18,8017477.12,-980662.94
2017-02-13,9758942.97,7832956.64,1925986.33
2017-02-14,5028278.76,5710912.57,-682633.82
2017-02-15,7019347.28,7957425.42,-938078.14
2017-02-16,10973302.50,8673611.46,2299691.05
2017-02-17,9691341.58,7824495.84,1866845.74
2017-02-18,5215525.80,5906434.60,-690908.80
2017-02-20,8902666.66,7132302.28,1770364.38
2017-02-21,11231598.75,8888934.25,2342664.51
2017-02-22,6818303.09,7730747.79,-912444.70
2017-02-23,5658324.03,6395266.92,-736942.89
2017-02-24,8884938.29,7065701.47,1819236.82
2017-02-25,11244792.05,8961172.85,2283619.20
2017-02-27,5703798.75,6413681.84,-709883.10
2017-02-28,9199739.35,7344006.90,1855732.45
2017-03-01,11507856.16,9200329.69,2307526.47
2017-03-02,9693167.51,7818176.42,1874991.09
2017-03-03,10975187.62,8665699.43,2309488.19
2017-03-04,7020548.13,7950407.66,-929859.54
2017-03-06,9744869.59,7808647.70,1936221.90
2017-03-07,10916480.36,8674120.92,2242359.44
2017-03-08,7027282.89,7992715.39,-965432.50
2017-03-09,5019233.78,5666636.37,-647402.59
2017-03-10,9443674.77,7554827.79,1888846.98
2017-03-11,10676022.54,8472832.67,2203189.87
2017-03-13,6591526.70,7384216.09,-792689.39
2017-03-14,9957836.32,8018100.46,1939735.86
2017-03-15,10146323.74,8003690.78,2142632.96
2017-03-16,5885530.24,6715211.84,-829681.60
2017-03-17,6626354.50,7464044.40,-837689.90
2017-03-18,10057991.92,8131838.68,1926153.24
2017-03-20,5644198.75,6439187.71,-794988.96
2017-03-21,6419483.27,7227051.24,-807567.97
2017-03-22,6161691.58,7068744.98,-907053.39
2017-03-23,5865348.29,6594950.36,-729602.06
2017-03-24,10867387.11,8810905.44,2056481.67
2017-03-25,9838414.36,7736213.41,2102200.95
2017-03-27,5959403.14,6736826.76,-777423.63
2017-03-28,10893961.62,8863112.96,2030848.66
2017-03-29,9815862.21,7683554.34,2132307.86
2017-03-30,6325251.60,7182216.87,-856965.27
2017-03-31,6156292.78,6940443.15,-784150.37
2017-04-01,7259453.42,8223817.35,-964363.93
2017-04-03,9417281.69,7591076.46,1826205.23
2017-04-04,10690908.69,8433822.61,2257086.09
2017-04-05,7273203.20,8269159.24,-995956.04
2017-04-06,5245217.67,5919891.99,-674674.32
2017-04-07,9478362.96,7584815.02,1893547.93
2017-04-08,10640450.22,8441765.19,2198685.03
2017-04-10,5045917.75,5695783.42,-649865.67
2017-04-11,6588231.18,7494108.42,-905877.24
2017-04-12,5436926.12,6163435.53,-726509.41
2017-04-13,9174309.17,7379945.36,1794363.81
2017-04-14,11523033.61,9159273.90,2363759.71
2017-04-15,6544104.60,7474369.36,-930264.75
2017-04-17,9165521.92,7314413.08,1851108.84
2017-04-18,11544806.85,9232677.28,2312129.58
2017-04-19,6796418.94,7741242.38,-944823.44
2017-04-20,5675769.52,6383126.41,-707356.90
2017-04-21,6110200.77,6895298.51,-785097.74
2017-04-22,6359962.20,7239994.47,-880032.27
2017-04-24,10587691.34,8606921.22,1980770.12
2017-04-25,6169722.18,6932040.14,-762317.96
2017-04-26,6321362.84,7236276.32,-914913.48
2017-04-27,9564825.90,7512908.24,2051917.66
2017-04-28,10581898.80,8549208.23,2032690.57
2017-04-29,5904692.33,6636776.28,-732083.95
2017-05-01,6374359.68,7183417.03,-809057.35
2017-05-02,5679416.05,6496695.45,-817279.40
2017-05-03,10404978.84,8179572.34,2225406.50
2017-05-04,10263175.84,8323184.24,1939991.60
2017-05-05,6374891.97,7154985.82,-780093.85
2017-05-06,5694768.72,6549087.39,-854318.67
2017-05-08,10330725.79,8330122.78,2000603.01
2017-05-09,6629658.13,7424088.81,-794430.68
2017-05-10,5873124.34,6737123.91,-863999.57
2017-05-11,5636512.20,6341298.89,-704786.69
2017-05-12,6837553.09,7802049.87,-964496.78
2017-05-13,11250963.76,8961127.82,2289835.94
2017-05-15,5737113.43,6498296.46,-761183.03
2017-05-16,6756331.18,7669992.15,-913660.97
2017-05-17,11233515.38,8920768.56,2312746.81
2017-05-18,8918191.18,7146300.22,1771890.96
2017-05-19,5482616.84,6209021.11,-726404.27
2017-05-20,6553775.87,7436272.00,-882496.13
2017-05-22,7039705.23,8022494.85,-982789.61
2017-05-23,10994578.83,8737020.86,2257557.97
2017-05-24,9671334.70,7764314.50,1907020.20
2017-05-25,5052464.75,5747263.69,-694798.94
2017-05-26,7016152.64,7952397.37,-936244.73
2017-05-27,10905112.57,8634325.47,2270787.10
2017-05-29,5292886.34,6001117.15,-708230.81
2017-05-30,7224560.66,8164558.13,-939997.48
2017-05-31,8912923.16,7124754.58,1788168.58
2017-06-01,11232186.17,8897827.93,2334358.24
2017-06-02,6753988.97,7648417.17,-894428.19
2017-06-03,5731124.51,6476449.49,-745324.99
2017-06-05,11243864.40,8952296.82,2291567.58
2017-06-06,6831451.87,7792405.85,-960953.98
2017-06-07,5630397.26,6332338.83,-701941.56
2017-06-08,9120028.34,7291878.25,1828150.09
2017-06-09,11581263.69,9256815.71,2324447.98
2017-06-10,9773217.47,7870622.29,1902595.18
2017-06-12,7013710.06,7930218.89,-916508.82
2017-06-13,5046566.60,5726806.76,-680240.16
2017-06-14,9664596.00,7756386.55,1908209.45
2017-06-15,10987371.73,8728194.74,2259176.99
2017-06-16,7033517.48,8012689.38,-979171.90
2017-06-17,5001252.34,5645536.79,-644284.45
2017-06-19,10676393.01,8465278.33,2211114.69
2017-06-20,5935362.12,6805147.79,-869785.66
2017-06-21,6552545.39,7327660.75,-775115.37
2017-06-22,9984166.09,8025747.83,1958418.26
2017-06-23,10105417.48,7950939.11,2154478.37
2017-06-24,5856331.44,6678287.17,-821955.73
2017-06-26,10019390.07,8093016.11,1926373.95
2017-06-27,10087853.22,7913069.60,2174783.63
2017-06-28,5677244.57,6490111.31,-812866.75
2017-06-29,6399199.97,7219215.15,-820015.18
2017-06-30,6127920.59,7015939.67,-888019.08
2017-07-01,5884725.32,6602822.80,-718097.48
2017-07-03,9866377.41,7743581.77,2122795.64
2017-07-04,6103903.04,6948595.65,-844692.61
2017-07-05,5928066.80,6698099.88,-770033.08
2017-07-06,10928049.43,8887490.71,2040558.72
2017-07-07,9779437.86,7646571.74,2132866.11
2017-07-08,6303850.66,7174717.47,-870866.81
2017-07-10,7282842.95,8231777.16,-948934.20
2017-07-11,5211806.18,5904245.90,-692439.71
2017-07-12,9443020.35,7598698.87,1844321.48
2017-07-13,10648998.53,8379694.59,2269303.95
2017-07-14,7241282.53,8228624.60,-987342.07
2017-07-15,5269412.87,5942219.06,-672806.19
2017-07-17,10673848.17,8464989.03,2208859.13
2017-07-18,7033682.95,8016669.40,-982986.46
2017-07-19,5028155.16,5688349.89,-660194.72
2017-07-20,6553538.79,7440034.70,-886495.91
2017-07-21,5455262.91,6170836.18,-715573.26
2017-07-22,9130943.72,7327955.43,1802988.29
2017-07-24,6570484.49,7497762.82,-927278.33
2017-07-25,5459179.75,6149365.08,-690185.33
2017-07-26,9196674.98,7336518.67,1860156.31
2017-07-27,11505748.41,9192193.10,2313555.31
2017-07-28,6773823.74,7733244.86,-959421.13
2017-07-29,5712812.23,6436560.19,-723747.96
2017-07-31,6329816.14,7201786.92,-871970.77
2017-08-01,9572917.21,7454309.99,2118607.22
2017-08-02,10548288.44,8567085.84,1981202.60
2017-08-03,6131966.71,6877269.58,-745302.88
2017-08-04,6342930.00,7243873.84,-900943.84
2017-08-05,9524550.68,7461669.81,2062880.87
2017-08-07,5935971.66,6675288.61,-739316.95
2017-08-08,6095313.87,6985882.85,-890568.98
2017-08-09,6341909.21,7143352.59,-801443.38
2017-08-10,5703970.38,6518600.53,-814630.15
2017-08-11,10367814.37,8141526.55,2226287.82
2017-08-12,10296158.51,8346779.91,1949378.60
2017-08-14,5661829.74,6498011.27,-836181.53
2017-08-15,10389058.11,8211182.96,2177875.15
2017-08-16,10285570.68,8275124.32,2010446.36
2017-08-17,6602967.43,7399969.48,-797002.05
2017-08-18,5902214.14,6774118.40,-871904.26
2017-08-19,5661386.40,6364085.09,-702698.70
2017-08-21,11285411.22,8985080.56,2300330.66
2017-08-22,8843946.64,7044258.07,1799688.58
2017-08-23,5700129.30,6444620.08,-744490.78
2017-08-24,6778759.55,7677889.87,-899130.32
2017-08-25,11190639.51,8865129.26,2325510.25
2017-08-26,8943046.80,7153588.69,1789458.10
2017-08-28,6527451.74,7413012.24,-885560.50
2017-08-29,4977591.93,5617831.94,-640240.00
2017-08-30,7066937.21,8046401.32,-979464.11
2017-08-31,10956377.88,8697601.65,2258776.23
2017-09-01,9703482.55,7787200.37,1916282.18
2017-09-02,5070235.14,5754655.20,-684420.05
2017-09-04,10934676.47,8642171.73,2292504.73
2017-09-05,9734325.29,7839725.09,1894600.20
2017-09-06,5268692.93,5978751.16,-710058.23
2017-09-07,7256600.15,8205028.53,-948428.38
2017-09-08,8955750.82,7176021.78,1779729.05
2017-09-09,11202137.22,8889872.38,2312264.84
2017-09-11,5712104.52,6468875.68,-756771.17
2017-09-12,8843353.93,7051121.70,1792232.23
2017-09-13,11282346.38,8992163.88,2290182.50
2017-09-14,6804630.77,7768736.51,-964105.75
2017-09-15,5661530.76,6370579.58,-709048.82
2017-09-16,9145048.76,7299241.09,1845807.67
2017-09-18,9746929.56,7862950.18,1883979.38
2017-09-19,10946279.80,8666685.65,2279594.15
2017-09-20,6990881.44,7922311.84,-931430.40
2017-09-21,5081998.43,5777850.09,-695851.66
2017-09-22,9702681.35,7794400.94,1908280.41
2017-09-23,10953410.31,8704574.68,2248835.63
2017-09-25,4977624.11,5623605.32,-645981.21
2017-09-26,9388357.63,7509475.37,1878882.26
2017-09-27,10705737.90,8473039.30,2232698.60
2017-09-28,5921087.55,6753588.45,-832500.90
2017-09-29,6579524.17,7399840.98,-820316.81
2017-09-30,10011060.16,8095011.70,1916048.46
2017-10-02,5870896.09,6729600.23,-858704.14
2017-10-03,6626712.39,7416087.77,-789375.38
2017-10-04,9993157.04,8024000.21,1969156.83
2017-10-05,10102293.53,7965298.11,2136995.42
2017-10-06,5692742.81,6541889.28,-849146.47
2017-10-07,6371834.38,7146944.74,-775110.36
2017-10-09,5911572.59,6671931.16,-760358.57
2017-10-10,10848026.73,8826468.05,2021558.69
2017-10-11,9852315.29,7692123.67,2160191.62
2017-10-12,6118560.08,7000939.46,-882379.38
2017-10-13,5901566.98,6628915.01,-727348.03
2017-10-14,10901676.31,8815214.35,2086461.95
2017-10-16,6319201.83,7228569.36,-909367.52
2017-10-17,6166857.64,6924339.63,-757481.99
2017-10-18,7301222.54,8304077.56,-1002855.02
2017-10-19,5190814.14,5852734.53,-661920.39
2017-10-20,9422153.82,7546378.84,1875774.98
2017-10-21,10667283.98,8448798.17,2218485.81
2017-10-23,5289838.43,5993595.16,-703756.73
2017-10-24,9461016.29,7599423.07,1861593.22
2017-10-25,10655145.80,8395800.64,2259345.16
2017-10-26,7013910.37,7944322.22,-930411.85
2017-10-27,5049566.88,5740035.95,-690469.07
2017-10-28,6571837.38,7509022.07,-937184.69
2017-10-30,9110223.10,7276613.56,1833609.54
2017-10-31,11571930.84,9239587.77,2332343.07
2017-11-01,6551568.42,7428469.94,-876901.52
2017-11-02,5479761.38,6201643.35,-721881.97
2017-11-03,9217143.51,7388049.76,1829093.75
2017-11-04,11486967.62,9120090.56,2366877.05
2017-11-06,5734035.33,6490504.00,-756468.67
2017-11-07,6108190.81,6847706.33,-739515.52
2017-11-08,6344948.25,7255757.69,-910809.43
2017-11-09,9588138.89,7505964.14,2082174.75
2017-11-10,10520266.37,8494947.69,2025318.67
2017-11-11,6159202.72,6948229.36,-789026.65
2017-11-13,9509031.70,7410184.98,2098846.73
2017-11-14,10636804.41,8629327.02,2007477.39
2017-11-15,5962439.21,6744689.66,-782250.45
2017-11-16,6080672.54,6933561.47,-852888.94
2017-11-17,6314158.13,7071368.39,-757210.26
2017-11-18,5718979.78,6570152.23,-851172.45
2017-11-20,10268298.61,8275648.19,1992650.42
2017-11-21,6422574.21,7235176.02,-812601.81
2017-11-22,5646318.11,6446409.14,-800091.04
2017-11-23,10373414.89,8157141.25,2216273.64
2017-11-24,10313073.41,8346251.60,1966821.81
2017-11-25,6629198.69,7471985.50,-842786.80
2017-11-27,5683233.43,6418202.52,-734969.09
2017-11-28,6787378.04,7691639.91,-904261.87
2017-11-29,11265992.32,8912851.50,2353140.82
2017-11-30,8865870.52,7095831.84,1770038.69
2017-12-01,5678838.39,6390826.57,-711988.18
2017-12-02,6798452.66,7748993.01,-950540.35
2017-12-04,8921651.18,7102008.30,1819642.88
2017-12-05,5492686.30,6194421.44,-701735.13
2017-12-06,6546323.80,7482236.24,-935912.43
2017-12-07,4999244.14,5669234.76,-669990.62
2017-12-08,7047730.34,7974285.55,-926555.21
2017-12-09,10937054.45,8626561.90,2310492.54
2017-12-11,5048795.00,5702920.37,-654125.37
2017-12-12,7000102.36,7968754.86,-968652.50
2017-12-13,10954583.25,8713378.13,2241205.12
2017-12-14,9712765.42,7785778.20,1926987.22
2017-12-15,5248331.04,5927420.77,-679089.73
2017-12-16,7275295.56,8277220.40,-1001924.84
2017-12-18,11216614.25,8945232.83,2271381.42
2017-12-19,6803850.25,7757968.00,-954117.74
2017-12-20,5685663.39,6400619.48,-714956.10
2017-12-21,8870056.06,7116214.41,1753841.65
2017-12-22,11268365.68,8936747.86,2331617.82
2017-12-23,6790534.21,7714265.02,-923730.82
2017-12-25,9173063.44,7366433.90,1806629.54
2017-12-26,11522909.81,9143091.38,2379818.43
2017-12-27,9720756.78,7794860.05,1925896.74
2017-12-28,10960665.12,8721315.75,2239349.36
2017-12-29,7005367.67,7977556.41,-972188.74
2017-12-30,5055698.68,5712707.68,-657009.00
2018-01-01,10939327.21,8650001.54,2289325.67
2018-01-02,7050789.10,7997203.60,-946414.50
2018-01-03,5004598.23,5688853.41,-684255.17
2018-01-04,9416151.80,7577424.65,1838727.15
2018-01-05,10690612.06,8418279.20,2272332.86
2018-01-06,5896137.76,6731453.33,-835315.56
2018-01-08,9978445.83,8071707.65,1906738.18
2018-01-09,10128150.02,7936332.76,2191817.26
2018-01-10,5904436.49,6781676.50,-877240.01
2018-01-11,6605896.38,7407945.74,-802049.36
2018-01-12,10037638.11,8078042.28,1959595.83
2018-01-13,10074001.13,7957762.44,2116238.69
2018-01-15,6398235.62,7170903.28,-772667.65
2018-01-16,6143304.69,7001272.96,-857968.26
2018-01-17,5886227.08,6648727.41,-762500.33
2018-01-18,10888119.59,8867042.18,2021077.41
2018-01-19,9820143.46,7669935.92,2150207.54
2018-01-20,6097399.26,6993351.69,-895952.43
2018-01-22,10873769.37,8807167.69,2066601.68
2018-01-23,9834552.54,7749915.73,2084636.81
2018-01-24,6345097.86,7251574.37,-906476.52
2018-01-25,6134847.04,6884966.02,-750118.98
2018-01-26,7273512.37,8279738.99,-1006226.62
2018-01-27,5221056.20,5889856.26,-668800.06
2018-01-29,10704878.33,8487545.26,2217333.08
2018-01-30,7258661.00,8212998.46,-954337.46
2018-01-31,5271724.97,5986250.12,-714525.15
2018-02-01,9504748.51,7652263.21,1852485.30
2018-02-02,10626000.22,8388069.53,2237930.70
2018-02-03,6982546.85,7904663.47,-922116.62
2018-02-05,6602410.25,7547933.77,-945523.52
2018-02-06,5409927.41,6096084.78,-686157.37
2018-02-07,9147419.78,7313509.07,1833910.72
2018-02-08,11537079.33,9215294.83,2321784.50
2018-02-09,6529643.89,7420790.69,-891146.80
2018-02-10,5516095.29,6254259.75,-738164.47
2018-02-12,11530478.34,9176632.14,2353846.21
2018-02-13,6780876.36,7685673.53,-904797.17
2018-02-14,5703224.22,6452408.36,-749184.14
2018-02-15,6088600.66,6840002.06,-751401.39
2018-02-16,6379115.05,7309244.91,-930129.87
2018-02-17,9560477.53,7498597.03,2061880.51
2018-02-19,6191098.97,6987667.70,-796568.73
2018-02-20,6301605.66,7166979.03,-865373.37
2018-02-21,9544981.18,7446601.44,2098379.74
2018-02-22,10603389.07,8605459.14,1997929.93
2018-02-23,5925026.21,6690271.53,-765245.32
2018-02-24,6101829.85,6941190.35,-839360.49
2018-02-26,5698650.96,6562949.16,-864298.20
2018-02-27,10424343.30,8248937.52,2175405.77
2018-02-28,10241305.29,8267717.99,1973587.29
2018-03-01,6396114.54,7211083.80,-814969.27
2018-03-02,5675139.01,6482884.19,-807745.18
2018-03-03,10340502.90,8134338.40,2206164.50
2018-03-05,6650182.38,7480231.77,-830049.39
2018-03-06,5854126.66,6670848.92,-816722.25
2018-03-07,5664228.85,6410418.11,-746189.26
2018-03-08,6822584.81,7746605.57,-924020.76
2018-03-09,11235881.02,8904953.41,2330927.60
2018-03-10,8908719.73,7146993.68,1761726.05
2018-03-12,6771796.56,7725487.37,-953690.82
2018-03-13,11249105.53,8977115.11,2271990.42
2018-03-14,8890740.86,7080074.81,1810666.05
2018-03-15,5456243.01,6141956.24,-685713.23
2018-03-16,6568250.81,7489872.56,-921621.75
2018-03-17,5035011.60,5720497.44,-685485.84
2018-03-19,10979400.43,8681474.60,2297925.83
2018-03-20,9699322.81,7833588.02,1865734.78
2018-03-21,5025281.63,5681207.24,-655925.62
2018-03-22,7031527.28,8008628.56,-977101.28
2018-03-23,10920589.25,8689702.01,2230887.24
2018-03-24,9750956.85,7823902.16,1927054.69
2018-03-26,7239184.41,8220599.17,-981414.76
2018-03-27,8892639.07,7074312.93,1818326.13
2018-03-28,11250899.71,8969127.74,2281771.97
2018-03-29,6772818.84,7718551.20,-945732.36
2018-03-30,5710749.93,6423616.80,-712866.87
2018-03-31,8894889.85,7123609.71,1771280.14
2018-04-02,6813018.32,7721998.64,-908980.32
2018-04-03,5651317.96,6385270.96,-733953.00
2018-04-04,9141693.18,7344072.29,1797620.90
2018-04-05,11562011.15,9183433.38,2378577.77
2018-04-06,9752798.72,7817636.03,1935162.69
2018-04-07,10922496.66,8681952.79,2240543.86
2018-04-09,5026013.00,5676210.83,-650197.83
2018-04-10,9685243.77,7809150.34,1876093.43
2018-04-11,10969147.94,8657903.49,2311244.45
2018-04-12,7015192.32,7941556.36,-926364.04
2018-04-13,5022032.92,5696027.07,-673994.15
2018-04-14,9453969.77,7615142.76,1838827.01
2018-04-16,5727919.90,6592728.14,-864808.23
2018-04-17,6326985.02,7096958.74,-769973.72
2018-04-18,10282784.51,8300728.59,1982055.92
2018-04-19,10393278.16,8218366.98,2174911.18
2018-04-20,5645883.77,6453208.50,-807324.73
2018-04-21,6421707.57,7241235.71,-819528.15
2018-04-23,10371559.94,8164746.78,2206813.15
2018-04-24,5884451.13,6701746.05,-817294.92
2018-04-25,6624997.39,7450700.96,-825703.57
2018-04-26,6354445.68,7279799.66,-925353.98
2018-04-27,6121887.88,6874130.54,-752242.66
2018-04-28,10534197.76,8519962.46,2014235.30
2018-04-30,6326266.93,7196262.42,-869995.50
2018-05-01,6157822.77,6953476.38,-795653.62
2018-05-02,10635147.87,8636280.16,1998867.71
2018-05-03,9507766.45,7417601.35,2090165.10
2018-05-04,6077061.20,6911811.15,-834749.95
2018-05-05,5957099.71,6723199.68,-766099.97
2018-05-07,5004239.07,5688414.87,-684175.80
2018-05-08,9729882.74,7862955.50,1866927.24
2018-05-09,10939655.61,8650156.49,2289499.12
2018-05-10,7005697.30,7977986.37,-972289.08
2018-05-11,5056049.61,5713125.22,-657075.60
2018-05-12,9720397.74,7794638.12,1925759.62
2018-05-14,7265980.67,8252492.03,-986511.36
2018-05-15,5235794.46,5903337.68,-667543.22
2018-05-16,6790798.48,7714610.74,-923812.26
2018-05-17,5688623.91,6439115.84,-750491.93
2018-05-18,8869755.05,7116028.68,1753726.37
2018-05-19,11268108.75,8936654.82,2331453.93
2018-05-21,5685366.16,6400260.76,-714894.60
2018-05-22,8929698.97,7110874.56,1818824.41
2018-05-23,11216879.79,8945347.79,2271532.01
2018-05-24,6536470.36,7457658.49,-921188.13
2018-05-25,5479543.54,6169290.30,-689746.76
2018-05-26,5911945.49,6678944.90,-766999.41
2018-05-28,9849337.74,7698540.66,2150797.07
2018-05-29,10846776.90,8834035.63,2012741.27
2018-05-30,5913380.32,6653047.75,-739667.44
2018-05-31,6128516.22,7024976.67,-896460.45
2018-06-01,9805363.78,7721221.12,2084142.66
2018-06-02,10915109.84,8840042.23,2075067.61
2018-06-04,6312909.99,7218712.99,-905803.00
2018-06-05,6578837.41,7406060.51,-827223.10
2018-06-06,5919159.71,6758933.10,-839773.39
2018-06-07,10088848.91,7905534.57,2183314.34
2018-06-08,10010553.33,8102593.77,1907959.55
2018-06-09,6639270.36,7441938.74,-802668.38
