as_of_date,source_reference,account_code,name,account_class,currency,balance
2017-03-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-03-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,9253613.67
2017-03-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,7962549.28
2017-04-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9168071.48
2017-04-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,20956067.76
2017-04-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,43655569.63
2017-04-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,189811415.99
2017-04-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-3155303.51
2017-04-30,GL-1900,GL-1900,Other assets,ASSET,GHS,16693719.52
2017-04-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,230610694.41
2017-04-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,6918320.83
2017-04-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-04-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,9431011.83
2017-04-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,8169513.80
2017-05-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9356342.48
2017-05-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,20796702.29
2017-05-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,44326077.02
2017-05-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,191563842.69
2017-05-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-3543246.46
2017-05-31,GL-1900,GL-1900,Other assets,ASSET,GHS,15714394.86
2017-05-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,231278070.38
2017-05-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,6938342.11
2017-05-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-05-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,9614323.26
2017-05-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,8383377.14
2017-06-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9432701.71
2017-06-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,21602998.01
2017-06-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,45024144.93
2017-06-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,192264629.45
2017-06-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-3737904.18
2017-06-30,GL-1900,GL-1900,Other assets,ASSET,GHS,20492334.43
2017-06-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,237569748.82
2017-06-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7127092.46
2017-06-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-06-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,9791721.42
2017-06-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,8590341.66
2017-07-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9331547.96
2017-07-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,21289440.89
2017-07-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,44536869.88
2017-07-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,196036497.80
2017-07-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-3745798.63
2017-07-31,GL-1900,GL-1900,Other assets,ASSET,GHS,14808508.17
2017-07-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,234444493.42
2017-07-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7033334.80
2017-07-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-07-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,9975032.85
2017-07-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,8804204.99
2017-08-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9618636.32
2017-08-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,20665996.08
2017-08-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,45568496.97
2017-08-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,197430593.46
2017-08-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-5171178.98
2017-08-31,GL-1900,GL-1900,Other assets,ASSET,GHS,15692619.02
2017-08-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,235561893.46
2017-08-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7066856.80
2017-08-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-08-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,10158344.28
2017-08-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,9018068.33
2017-09-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9747326.06
2017-09-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,21622588.04
2017-09-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,46068396.45
2017-09-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,198295768.85
2017-09-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-5215934.17
2017-09-30,GL-1900,GL-1900,Other assets,ASSET,GHS,20758709.41
2017-09-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,242442795.47
2017-09-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7273283.86
2017-09-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-09-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,10335742.44
2017-09-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,9225032.85
2017-10-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9813728.94
2017-10-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,21080197.86
2017-10-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,46811905.85
2017-10-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,199413768.68
2017-10-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-5206944.93
2017-10-31,GL-1900,GL-1900,Other assets,ASSET,GHS,18441043.04
2017-10-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,241160921.72
2017-10-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7234827.65
2017-10-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-10-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,10519053.88
2017-10-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,9438896.19
2017-11-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9787319.75
2017-11-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,21713793.11
2017-11-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,46281863.62
2017-11-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,200840939.04
2017-11-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-5211967.34
2017-11-30,GL-1900,GL-1900,Other assets,ASSET,GHS,17888324.28
2017-11-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,241706757.01
2017-11-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7251202.71
2017-11-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-11-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,10696452.04
2017-11-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,9645860.71
2017-12-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9873186.89
2017-12-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,21824900.29
2017-12-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,47020637.31
2017-12-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,204417928.42
2017-12-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-5580223.11
2017-12-31,GL-1900,GL-1900,Other assets,ASSET,GHS,16737559.79
2017-12-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,244227671.91
2017-12-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7326830.16
2017-12-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2017-12-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,10879763.47
2017-12-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,9859724.05
2018-01-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9623257.23
2018-01-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,22626434.74
2018-01-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,45598153.14
2018-01-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,205122112.88
2018-01-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-5709004.41
2018-01-31,GL-1900,GL-1900,Other assets,ASSET,GHS,17911883.56
2018-01-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,244695315.40
2018-01-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7340859.46
2018-01-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-01-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,11063074.90
2018-01-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,10073587.39
2018-02-28,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,9975823.84
2018-02-28,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,22051092.90
2018-02-28,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,47180505.74
2018-02-28,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,206492350.82
2018-02-28,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-6535104.72
2018-02-28,GL-1900,GL-1900,Other assets,ASSET,GHS,19390825.49
2018-02-28,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,247631158.52
2018-02-28,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7428934.76
2018-02-28,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-02-28,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,11228646.52
2018-02-28,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,10266754.27
2018-03-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,10280804.57
2018-03-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,22807395.52
2018-03-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,48590141.67
2018-03-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,207603920.95
2018-03-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-6954475.42
2018-03-31,GL-1900,GL-1900,Other assets,ASSET,GHS,23006652.55
2018-03-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,253827052.70
2018-03-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7614811.58
2018-03-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-03-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,11411957.95
2018-03-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,10480617.61
2018-04-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,10007520.41
2018-04-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,22794279.03
2018-04-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,47662296.22
2018-04-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,208714901.78
2018-04-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-6998482.18
2018-04-30,GL-1900,GL-1900,Other assets,ASSET,GHS,20808882.74
2018-04-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,251177145.40
2018-04-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7535314.36
2018-04-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-04-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,11589356.11
2018-04-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,10687582.13
2018-05-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,10150620.62
2018-05-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,23209075.49
2018-05-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,48348399.13
2018-05-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,210827135.98
2018-05-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-7142126.63
2018-05-31,GL-1900,GL-1900,Other assets,ASSET,GHS,22307970.28
2018-05-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,255365982.39
2018-05-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7660979.47
2018-05-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-05-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,11772667.54
2018-05-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,10901445.47
2018-06-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,10341730.06
2018-06-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,23558039.74
2018-06-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,49279693.64
2018-06-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,213465531.89
2018-06-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-7245512.99
2018-06-30,GL-1900,GL-1900,Other assets,ASSET,GHS,25088491.86
2018-06-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,261582037.40
2018-06-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7847461.12
2018-06-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-06-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,11950065.70
2018-06-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,11108409.99
2018-07-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,10554999.85
2018-07-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,23369580.83
2018-07-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,49977796.98
2018-07-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,215017820.53
2018-07-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-7295078.08
2018-07-31,GL-1900,GL-1900,Other assets,ASSET,GHS,23982066.32
2018-07-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,262283044.63
2018-07-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7868491.34
2018-07-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-07-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,12133377.14
2018-07-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,11322273.32
2018-08-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,10769386.84
2018-08-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,23178675.63
2018-08-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,51280604.06
2018-08-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,216306193.05
2018-08-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-7341157.15
2018-08-31,GL-1900,GL-1900,Other assets,ASSET,GHS,24506424.37
2018-08-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,264900292.79
2018-08-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,7947008.78
2018-08-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-08-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,12316688.57
2018-08-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,11536136.66
2018-09-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,11003803.07
2018-09-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,24365057.33
2018-09-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,52126822.70
2018-09-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,217998143.90
2018-09-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-7611200.44
2018-09-30,GL-1900,GL-1900,Other assets,ASSET,GHS,27985221.66
2018-09-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,271486077.96
2018-09-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,8144582.34
2018-09-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-09-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,12494086.73
2018-09-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,11743101.18
2018-10-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,10841311.64
2018-10-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,23960582.01
2018-10-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,51622267.53
2018-10-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,219370623.81
2018-10-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-7609106.97
2018-10-31,GL-1900,GL-1900,Other assets,ASSET,GHS,24531039.08
2018-10-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,268041120.80
2018-10-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,8041233.62
2018-10-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-10-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,12677398.16
2018-10-31,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,11956964.52
2018-11-30,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,11088968.62
2018-11-30,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,23840266.78
2018-11-30,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,52524914.83
2018-11-30,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,222175191.70
2018-11-30,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-8492970.98
2018-11-30,GL-1900,GL-1900,Other assets,ASSET,GHS,23420719.18
2018-11-30,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,269454723.07
2018-11-30,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,8083641.69
2018-11-30,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-11-30,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,12854796.32
2018-11-30,GL-3300,GL-3300,Retained earnings,EQUITY,GHS,12163929.04
2018-12-31,GL-1010,GL-1010,Cash on hand (vault),ASSET,GHS,11081967.73
2018-12-31,GL-1020,GL-1020,Balances with Bank of Ghana,ASSET,GHS,23902994.16
2018-12-31,GL-1200,GL-1200,Investments — GoG securities,ASSET,GHS,52878513.09
2018-12-31,GL-1300,GL-1300,Loans & advances (gross),ASSET,GHS,226363302.73
2018-12-31,GL-1390,GL-1390,Less: impairment allowance,ASSET,GHS,-8874552.84
2018-12-31,GL-1900,GL-1900,Other assets,ASSET,GHS,22996322.03
2018-12-31,GL-2100,GL-2100,Customer deposits,LIABILITY,GHS,272750142.50
2018-12-31,GL-2400,GL-2400,Borrowings,LIABILITY,GHS,8182504.28
2018-12-31,GL-3100,GL-3100,Stated / paid-up capital,EQUITY,GHS,22000000.00
2018-12-31,GL-3200,GL-3200,Statutory reserve fund,EQUITY,GHS,13038107.75
