# Sample Bank Ltd (BK-0PMD7Z5M) onboarding dataset — LOAN book re-push as at 2026-06-30 adding the BoG prudential-return attributes (docs/API_INTEGRATION.md §3.4): sector (BSD4 taxonomy), ownership, facility_type, bog_classification + days_past_due, interest_in_suspense_ghs, ecl_provision_ghs. Every typed field and pre-existing attribute of the current generation is resent because a re-push supersedes the snapshot whole. Push with: uv run python scripts/ingest_push.py --entity position=onboarding/sample_bank/loans_attributes_repush.csv --as-of 2026-06-30 ...
source_reference,position_type,currency,balance,notional,counterparty_reference,product_code,gl_account_code,origination_date,contractual_maturity,next_repricing_date,interest_rate,rate_type,rate_index,rate_spread,ifrs9_stage,attributes.balance_ghs,attributes.branch_id,attributes.months_on_book,attributes.scheduled_principal_ghs,attributes.interest_accrued_ghs,attributes.sector,attributes.ownership,attributes.facility_type,attributes.bog_classification,attributes.days_past_due,attributes.interest_in_suspense_ghs,attributes.ecl_provision_ghs
AA.ARRANGEMENT/1025479,LOAN,GHS,50935.25,103905.31,SBL-CUST-007470,LN.RET.MORT,1302,2014-01-22,2029-03-04,2026-08-17,0.2178,FLOATING,BOG_MPR,0.06,1,50935.25,BR-001,104,1216.36,946.55,commerce.mortgage_financing,,scheduled,current,0,,254.68
AA.ARRANGEMENT/1025485,LOAN,GHS,56704.2,89250.28,SBL-CUST-002734,LN.RET.MORT,1302,2014-09-27,2030-07-05,2026-07-26,0.218,FLOATING,BOG_MPR,0.06,1,56704.2,BR-009,104,760.31,1043.94,commerce.mortgage_financing,,scheduled,current,0,,283.52
AA.ARRANGEMENT/1028196,LOAN,GHS,44536.78,82033.65,SBL-CUST-012423,LN.RET.MORT,1302,2014-07-23,2029-08-03,2026-08-19,0.2178,FLOATING,BOG_MPR,0.06,1,44536.78,BR-008,102,871.65,824.16,commerce.mortgage_financing,,scheduled,current,0,,222.68
AA.ARRANGEMENT/1028198,LOAN,GHS,21495.02,485097.42,SBL-CUST-005416,LN.RET.MORT,1302,2011-08-29,2026-10-09,2026-09-09,0.2159,FLOATING,BOG_MPR,0.06,1,21495.02,BR-006,102,10456.74,588.71,commerce.mortgage_financing,,scheduled,current,0,,107.48
AA.ARRANGEMENT/1034867,LOAN,GHS,84407.66,446898.22,SBL-CUST-012124,LN.RET.MORT,1302,2016-01-17,2027-05-19,2026-08-22,0.2178,FLOATING,BOG_MPR,0.06,1,84407.66,BR-001,97,8562.73,1687.41,commerce.mortgage_financing,,scheduled,current,0,,422.04
AA.ARRANGEMENT/1036258,LOAN,GHS,96018.98,120659.95,SBL-CUST-001902,LN.RET.MORT,1302,2016-09-15,2032-10-21,2026-07-25,0.218,FLOATING,BOG_MPR,0.06,1,96018.98,BR-003,96,599.35,1755.23,commerce.mortgage_financing,,scheduled,current,0,,480.09
AA.ARRANGEMENT/1040752,LOAN,GHS,99395.27,116686.84,SBL-CUST-013252,LN.RET.MORT,1302,2014-09-24,2034-02-11,2026-07-23,0.218,FLOATING,BOG_MPR,0.06,3,99395.27,BR-009,93,427.69,1813.45,commerce.mortgage_financing,,scheduled,substandard,99,534.28,29818.58
AA.ARRANGEMENT/1040758,LOAN,GHS,54451.36,111724.47,SBL-CUST-002618,LN.RET.MORT,1302,2016-03-28,2029-01-19,2026-08-03,0.2178,FLOATING,BOG_MPR,0.06,1,54451.36,BR-010,93,1356.92,1012.92,commerce.mortgage_financing,,scheduled,current,20,,272.26
AA.ARRANGEMENT/1042379,LOAN,GHS,481551.56,747841.07,SBL-CUST-003150,LN.RET.MORT,1302,2012-08-27,2030-06-24,2026-09-13,0.2159,FLOATING,BOG_MPR,0.06,1,481551.56,BR-010,92,6412.25,8990.73,commerce.mortgage_financing,,scheduled,current,0,,2407.76
AA.ARRANGEMENT/1042388,LOAN,GHS,65714.86,113860.99,SBL-CUST-009609,LN.RET.MORT,1302,2014-12-13,2029-10-25,2026-07-13,0.218,FLOATING,BOG_MPR,0.06,1,65714.86,BR-006,92,1151.71,1214.74,commerce.mortgage_financing,,scheduled,current,0,,328.57
AA.ARRANGEMENT/1045400,LOAN,GHS,129929.68,167942.43,SBL-CUST-000358,LN.RET.MORT,1302,2017-01-20,2032-04-01,2026-08-31,0.2159,FLOATING,BOG_MPR,0.06,1,129929.68,BR-012,90,931.11,2411.11,commerce.mortgage_financing,,scheduled,current,0,,649.65
AA.ARRANGEMENT/1045404,LOAN,GHS,89511.16,271979.03,SBL-CUST-010460,LN.RET.MORT,1302,2015-03-25,2028-01-16,2026-07-25,0.218,FLOATING,BOG_MPR,0.06,1,89511.16,BR-011,90,4460.37,1707.15,commerce.mortgage_financing,,scheduled,current,0,,447.56
AA.ARRANGEMENT/1046888,LOAN,GHS,182362.51,331762.23,SBL-CUST-004013,LN.RET.MORT,1302,2017-10-10,2029-07-09,2026-08-24,0.2178,FLOATING,BOG_MPR,0.06,1,182362.51,BR-004,89,3707.77,3377.18,commerce.mortgage_financing,,scheduled,current,0,,911.81
AA.ARRANGEMENT/1051493,LOAN,GHS,308749.18,697170.26,SBL-CUST-008352,LN.RET.MORT,1302,2013-12-30,2028-09-12,2026-07-25,0.218,FLOATING,BOG_MPR,0.06,1,308749.18,BR-003,86,9690.96,5785,commerce.mortgage_financing,,scheduled,current,11,,1543.75
AA.ARRANGEMENT/1051496,LOAN,GHS,98766.59,117908.16,SBL-CUST-011809,LN.RET.MORT,1302,2016-05-28,2033-07-28,2026-07-05,0.218,FLOATING,BOG_MPR,0.06,3,98766.59,BR-008,86,486.86,1803.1,commerce.mortgage_financing,,scheduled,doubtful,184,5545.00,54321.62
AA.ARRANGEMENT/1053227,LOAN,GHS,341843.8,818480.06,SBL-CUST-007274,LN.RET.MORT,1302,2011-01-10,2028-07-09,2026-07-20,0.218,FLOATING,BOG_MPR,0.06,1,341843.8,BR-003,85,11889.97,6426.16,commerce.mortgage_financing,,scheduled,current,0,,1709.22
AA.ARRANGEMENT/1053235,LOAN,GHS,542971.85,605369.93,SBL-CUST-011127,LN.RET.MORT,1302,2018-02-04,2035-06-05,2026-09-20,0.2159,FLOATING,BOG_MPR,0.06,1,542971.85,BR-002,85,1622.72,10034.15,commerce.mortgage_financing,,scheduled,current,0,,2714.86
AA.ARRANGEMENT/1053236,LOAN,GHS,149637.79,208720.18,SBL-CUST-012478,LN.RET.MORT,1302,2017-03-08,2031-04-24,2026-07-19,0.218,FLOATING,BOG_MPR,0.06,1,149637.79,BR-001,85,1491.19,2745.51,commerce.mortgage_financing,,scheduled,current,0,,748.19
AA.ARRANGEMENT/1054756,LOAN,GHS,127998.11,220245.08,SBL-CUST-011489,LN.RET.MORT,1302,2019-05-31,2029-10-05,2026-07-23,0.218,FLOATING,BOG_MPR,0.06,1,127998.11,BR-007,84,2325.53,2367.55,commerce.mortgage_financing,,scheduled,current,0,,639.99
AA.ARRANGEMENT/1056483,LOAN,GHS,244789.72,855938.95,SBL-CUST-003897,LN.RET.MORT,1302,2017-12-05,2027-10-14,2026-07-21,0.218,FLOATING,BOG_MPR,0.06,3,244789.72,BR-001,83,15236.33,4723.81,commerce.mortgage_financing,,scheduled,doubtful,201,16228.55,134634.35
AA.ARRANGEMENT/1056488,LOAN,GHS,97210.18,149797.35,SBL-CUST-000971,LN.RET.MORT,1302,2014-06-28,2030-06-04,2026-07-25,0.218,FLOATING,BOG_MPR,0.06,1,97210.18,BR-006,83,1345.47,1790.43,commerce.mortgage_financing,,scheduled,current,0,,486.05
AA.ARRANGEMENT/1058301,LOAN,GHS,70005.43,747555.27,SBL-CUST-000618,LN.RET.MORT,1302,2018-10-22,2026-12-09,2026-09-10,0.2159,FLOATING,BOG_MPR,0.06,3,70005.43,BR-003,82,16717.01,1597.86,commerce.mortgage_financing,,scheduled,substandard,108,745.36,21001.63
AA.ARRANGEMENT/1058311,LOAN,GHS,52618.18,96455.84,SBL-CUST-002551,LN.RET.MORT,1302,2012-09-27,2029-05-31,2026-07-16,0.218,FLOATING,BOG_MPR,0.06,1,52618.18,BR-003,82,1111.92,976.1,commerce.mortgage_financing,,scheduled,current,0,,263.09
AA.ARRANGEMENT/1058312,LOAN,GHS,447206.44,641571.19,SBL-CUST-013916,LN.RET.MORT,1302,2013-11-15,2030-12-16,2026-09-08,0.2159,FLOATING,BOG_MPR,0.06,1,447206.44,BR-005,82,4958.39,8331.14,commerce.mortgage_financing,,scheduled,current,0,,2236.03
AA.ARRANGEMENT/1058318,LOAN,GHS,32662.18,455055.36,SBL-CUST-009353,LN.RET.MORT,1302,2016-01-08,2026-11-11,2026-08-13,0.2178,FLOATING,BOG_MPR,0.06,3,32662.18,BR-012,82,10501.56,783.42,commerce.mortgage_financing,,scheduled,substandard,119,565.21,9798.65
AA.ARRANGEMENT/1061545,LOAN,GHS,367704.52,461099.77,SBL-CUST-007728,LN.RET.MORT,1302,2015-01-01,2032-06-30,2026-08-01,0.2178,FLOATING,BOG_MPR,0.06,1,367704.52,BR-005,80,2472.32,6718.71,commerce.mortgage_financing,,scheduled,current,0,,1838.52
AA.ARRANGEMENT/1065096,LOAN,GHS,495588.18,633535.09,SBL-CUST-010437,LN.RET.MORT,1302,2018-09-18,2032-03-08,2026-08-07,0.2178,FLOATING,BOG_MPR,0.06,3,495588.18,BR-007,78,3684.42,9061.8,commerce.mortgage_financing,,scheduled,loss,458,108826.28,495588.18
AA.ARRANGEMENT/1066808,LOAN,GHS,191294.25,239121.06,SBL-CUST-001966,LN.RET.MORT,1302,2013-12-09,2032-07-02,2026-07-04,0.218,FLOATING,BOG_MPR,0.06,1,191294.25,BR-010,77,1285.27,3498.53,commerce.mortgage_financing,,scheduled,current,0,,956.47
AA.ARRANGEMENT/1066809,LOAN,GHS,533050.56,559452.38,SBL-CUST-010528,LN.RET.MORT,1302,2019-07-15,2038-07-05,2026-09-06,0.2159,FLOATING,BOG_MPR,0.06,1,533050.56,BR-006,77,735.27,9835,commerce.mortgage_financing,,scheduled,current,0,,2665.25
AA.ARRANGEMENT/1068758,LOAN,GHS,99632.87,231596.92,SBL-CUST-014226,LN.RET.MORT,1302,2010-02-16,2028-07-11,2026-08-21,0.2178,FLOATING,BOG_MPR,0.06,1,99632.87,BR-007,76,3466.15,1871.25,commerce.mortgage_financing,,scheduled,current,0,,498.16
AA.ARRANGEMENT/1070357,LOAN,GHS,190163.57,287512.47,SBL-CUST-013673,LN.RET.MORT,1302,2020-03-19,2030-05-26,2026-08-15,0.2178,FLOATING,BOG_MPR,0.06,1,190163.57,BR-011,75,2633.18,3499.26,commerce.mortgage_financing,,scheduled,current,0,,950.82
AA.ARRANGEMENT/1072419,LOAN,GHS,140032.13,177221.19,SBL-CUST-006266,LN.RET.MORT,1302,2017-03-01,2032-04-11,2026-07-12,0.218,FLOATING,BOG_MPR,0.06,1,140032.13,BR-005,74,1014.26,2562.34,commerce.mortgage_financing,,scheduled,current,0,,700.16
AA.ARRANGEMENT/1072420,LOAN,GHS,273424.45,298024.08,SBL-CUST-007464,LN.RET.MORT,1302,2019-07-21,2036-01-23,2026-09-12,0.2159,FLOATING,BOG_MPR,0.06,1,273424.45,BR-005,74,690.61,5050.57,commerce.mortgage_financing,,scheduled,current,0,,1367.12
AA.ARRANGEMENT/1072424,LOAN,GHS,41722.66,222873.03,SBL-CUST-002498,LN.RET.MORT,1302,2019-01-30,2027-04-18,2026-09-20,0.2159,FLOATING,BOG_MPR,0.06,1,41722.66,BR-007,74,4799.78,857.18,commerce.mortgage_financing,,scheduled,current,0,,208.61
AA.ARRANGEMENT/1072428,LOAN,GHS,54715.95,268394.76,SBL-CUST-007339,LN.RET.MORT,1302,2018-05-26,2027-05-09,2026-07-13,0.218,FLOATING,BOG_MPR,0.06,1,54715.95,BR-005,74,5550.19,1094.83,commerce.mortgage_financing,,scheduled,current,0,,273.58
AA.ARRANGEMENT/1072436,LOAN,GHS,117841.55,161321.32,SBL-CUST-013441,LN.RET.MORT,1302,2014-06-01,2031-04-03,2026-09-26,0.2159,FLOATING,BOG_MPR,0.06,1,117841.55,BR-006,74,1197.8,2193.3,commerce.mortgage_financing,,scheduled,current,0,,589.21
AA.ARRANGEMENT/1072441,LOAN,GHS,48560.11,494354.08,SBL-CUST-002937,LN.RET.MORT,1302,2007-09-22,2026-12-11,2026-03-16,0.2159,FLOATING,BOG_MPR,0.06,3,48560.11,BR-009,74,11603.86,1091.98,commerce.mortgage_financing,,scheduled,doubtful,181,2613.85,26708.06
AA.ARRANGEMENT/1074108,LOAN,GHS,99837.31,215831.59,SBL-CUST-008744,LN.RET.MORT,1302,2015-06-20,2028-09-09,2026-07-22,0.218,FLOATING,BOG_MPR,0.06,1,99837.31,BR-012,73,3133.67,1870.64,commerce.mortgage_financing,,scheduled,current,0,,499.19
AA.ARRANGEMENT/1074109,LOAN,GHS,14777.22,103293.96,SBL-CUST-006983,LN.RET.MORT,1302,2017-10-25,2027-02-05,2026-09-08,0.2159,FLOATING,BOG_MPR,0.06,1,14777.22,BR-002,73,2309.29,314.82,commerce.mortgage_financing,,scheduled,current,0,,73.89
AA.ARRANGEMENT/1074112,LOAN,GHS,82016.12,131751.16,SBL-CUST-003236,LN.RET.MORT,1302,2018-10-13,2029-12-14,2026-09-01,0.2159,FLOATING,BOG_MPR,0.06,1,82016.12,BR-008,73,1332.04,1535.69,commerce.mortgage_financing,,scheduled,current,0,,410.08
AA.ARRANGEMENT/1074113,LOAN,GHS,46020.3,274224.08,SBL-CUST-011112,LN.RET.MORT,1302,2010-03-19,2027-03-20,2026-09-21,0.2159,FLOATING,BOG_MPR,0.06,1,46020.3,BR-012,73,6107.25,960.45,commerce.mortgage_financing,,scheduled,current,5,,230.10
AA.ARRANGEMENT/1074114,LOAN,GHS,254374.12,375177.66,SBL-CUST-005722,LN.RET.MORT,1302,2016-06-30,2030-07-17,2026-08-07,0.2178,FLOATING,BOG_MPR,0.06,1,254374.12,BR-005,73,3307.07,4676.91,commerce.mortgage_financing,,scheduled,current,0,,1271.87
AA.ARRANGEMENT/1074117,LOAN,GHS,179660.02,204080.84,SBL-CUST-011566,LN.RET.MORT,1302,2015-08-19,2034-06-10,2026-09-20,0.2159,FLOATING,BOG_MPR,0.06,1,179660.02,BR-001,73,696.64,3323.07,commerce.mortgage_financing,,scheduled,current,16,,898.30
AA.ARRANGEMENT/1074119,LOAN,GHS,71828.46,253920.03,SBL-CUST-000830,LN.RET.MORT,1302,2018-05-03,2027-09-13,2026-09-18,0.2159,FLOATING,BOG_MPR,0.06,1,71828.46,BR-010,73,4851.06,1412.82,commerce.mortgage_financing,,scheduled,current,0,,359.14
AA.ARRANGEMENT/1074122,LOAN,GHS,166680.01,192889.83,SBL-CUST-005511,LN.RET.MORT,1302,2017-11-25,2033-12-31,2026-07-11,0.218,FLOATING,BOG_MPR,0.06,1,166680.01,BR-011,73,733.46,3041.34,commerce.mortgage_financing,,scheduled,current,0,,833.40
AA.ARRANGEMENT/1075854,LOAN,GHS,143189.27,570542.25,SBL-CUST-005968,LN.RET.MORT,1302,2012-07-08,2027-07-20,2026-07-25,0.218,FLOATING,BOG_MPR,0.06,1,143189.27,BR-010,72,11665.44,2813.19,commerce.mortgage_financing,,scheduled,current,0,,715.95
AA.ARRANGEMENT/1075859,LOAN,GHS,433434.45,462144.45,SBL-CUST-009388,LN.RET.MORT,1302,2018-02-18,2037-03-10,2026-07-06,0.218,FLOATING,BOG_MPR,0.06,1,433434.45,BR-001,72,840.53,7889.33,commerce.mortgage_financing,,scheduled,current,20,,2167.17
AA.ARRANGEMENT/1077573,LOAN,GHS,480806.98,721497.77,SBL-CUST-003141,LN.RET.MORT,1302,2015-09-04,2030-05-18,2026-07-08,0.218,FLOATING,BOG_MPR,0.06,1,480806.98,BR-003,71,6654.79,8855.56,commerce.mortgage_financing,,scheduled,current,0,,2404.03
AA.ARRANGEMENT/1077579,LOAN,GHS,143400.67,178370.9,SBL-CUST-003975,LN.RET.MORT,1302,2014-04-08,2032-06-02,2026-08-03,0.2178,FLOATING,BOG_MPR,0.06,1,143400.67,BR-008,71,988.45,2620.66,commerce.mortgage_financing,,scheduled,current,0,,717.00
AA.ARRANGEMENT/1077581,LOAN,GHS,18377.9,127428.08,SBL-CUST-001355,LN.RET.MORT,1302,2019-09-08,2027-01-29,2026-08-02,0.2178,FLOATING,BOG_MPR,0.06,3,18377.9,BR-007,71,2874.74,385.74,commerce.mortgage_financing,,scheduled,substandard,131,449.62,5513.37
AA.ARRANGEMENT/1081158,LOAN,GHS,499843.08,631083.5,SBL-CUST-013794,LN.RET.MORT,1302,2016-12-07,2032-02-17,2026-07-18,0.218,FLOATING,BOG_MPR,0.06,1,499843.08,BR-007,69,3809.83,9149.69,commerce.mortgage_financing,,scheduled,current,0,,2499.22
AA.ARRANGEMENT/1082771,LOAN,GHS,113708.51,168291.41,SBL-CUST-007907,LN.RET.MORT,1302,2013-10-30,2030-06-03,2026-08-23,0.2178,FLOATING,BOG_MPR,0.06,1,113708.51,BR-002,68,1574.51,2092.39,commerce.mortgage_financing,,scheduled,current,0,,568.54
AA.ARRANGEMENT/1082772,LOAN,GHS,76116.16,393267.14,SBL-CUST-002613,LN.RET.MORT,1302,2011-02-10,2027-04-17,2026-08-20,0.2178,FLOATING,BOG_MPR,0.06,1,76116.16,BR-012,68,8767.29,1540.63,commerce.mortgage_financing,,scheduled,current,0,,380.58
AA.ARRANGEMENT/1084491,LOAN,GHS,186249.01,229552.19,SBL-CUST-003856,LN.RET.MORT,1302,2014-02-13,2032-06-08,2026-09-08,0.2159,FLOATING,BOG_MPR,0.06,1,186249.01,BR-003,67,1268.83,3455.02,commerce.mortgage_financing,,scheduled,current,0,,931.25
AA.ARRANGEMENT/1084494,LOAN,GHS,149334.74,485981.67,SBL-CUST-000148,LN.RET.MORT,1302,2008-07-14,2027-10-03,2025-04-16,0.2159,FLOATING,BOG_MPR,0.06,1,149334.74,BR-005,67,9296.16,2879.15,commerce.mortgage_financing,,scheduled,current,0,,746.67
AA.ARRANGEMENT/1084497,LOAN,GHS,85692.33,121519.59,SBL-CUST-001368,LN.RET.MORT,1302,2019-08-03,2030-10-04,2026-09-25,0.2159,FLOATING,BOG_MPR,0.06,1,85692.33,BR-010,67,1039.47,1598.03,commerce.mortgage_financing,,scheduled,current,0,,428.46
AA.ARRANGEMENT/1086378,LOAN,GHS,17184.41,217687.18,SBL-CUST-007807,LN.RET.MORT,1302,2016-07-30,2026-11-05,2026-09-06,0.2159,FLOATING,BOG_MPR,0.06,3,17184.41,BR-004,66,5522.14,418.37,commerce.mortgage_financing,,scheduled,loss,474,3903.24,17184.41
AA.ARRANGEMENT/1086382,LOAN,GHS,82239.11,103561.38,SBL-CUST-011112,LN.RET.MORT,1302,2015-01-25,2032-01-26,2026-08-25,0.2178,FLOATING,BOG_MPR,0.06,1,82239.11,BR-002,66,643.63,1504.32,commerce.mortgage_financing,,scheduled,current,0,,411.20
AA.ARRANGEMENT/1086385,LOAN,GHS,79612.51,163165.32,SBL-CUST-013479,LN.RET.MORT,1302,2016-05-08,2028-10-02,2026-09-13,0.2159,FLOATING,BOG_MPR,0.06,1,79612.51,BR-005,66,2370.84,1510.54,commerce.mortgage_financing,,scheduled,current,0,,398.06
AA.ARRANGEMENT/1086389,LOAN,GHS,196406.96,572287.37,SBL-CUST-002298,LN.RET.MORT,1302,2019-01-13,2027-11-27,2026-09-03,0.2159,FLOATING,BOG_MPR,0.06,1,196406.96,BR-006,66,10473.77,3811.78,commerce.mortgage_financing,,scheduled,current,0,,982.03
AA.ARRANGEMENT/1088603,LOAN,GHS,241491.97,823338.87,SBL-CUST-009484,LN.RET.MORT,1302,2012-05-24,2027-09-03,2026-09-08,0.2159,FLOATING,BOG_MPR,0.06,3,241491.97,BR-005,65,16309.59,4749.99,commerce.mortgage_financing,,scheduled,loss,400,44281.69,241491.97
AA.ARRANGEMENT/1088619,LOAN,GHS,123867.68,170186.68,SBL-CUST-008172,LN.RET.MORT,1302,2018-11-04,2030-12-31,2026-09-23,0.2159,FLOATING,BOG_MPR,0.06,1,123867.68,BR-007,65,1373.38,2307.57,commerce.mortgage_financing,,scheduled,current,0,,619.34
AA.ARRANGEMENT/1088627,LOAN,GHS,98592.61,166138.71,SBL-CUST-002121,LN.RET.MORT,1302,2014-10-29,2029-07-12,2026-08-27,0.2178,FLOATING,BOG_MPR,0.06,1,98592.61,BR-003,65,2004.57,1825.84,commerce.mortgage_financing,,scheduled,current,0,,492.96
AA.ARRANGEMENT/1090494,LOAN,GHS,475599.99,669823.55,SBL-CUST-001235,LN.RET.MORT,1302,2020-12-12,2030-09-21,2026-08-13,0.2178,FLOATING,BOG_MPR,0.06,1,475599.99,BR-006,64,5814.85,8737.68,commerce.mortgage_financing,,scheduled,current,0,,2378.00
AA.ARRANGEMENT/1090495,LOAN,GHS,138060.91,899457.04,SBL-CUST-003023,LN.RET.MORT,1302,2019-12-17,2027-02-08,2026-08-12,0.2178,FLOATING,BOG_MPR,0.06,3,138060.91,BR-012,64,21596.01,2897.77,commerce.mortgage_financing,,scheduled,loss,492,33117.82,138060.91
AA.ARRANGEMENT/1092326,LOAN,GHS,79338.43,118651.08,SBL-CUST-011124,LN.RET.MORT,1302,2017-05-26,2030-03-19,2026-07-08,0.218,FLOATING,BOG_MPR,0.06,3,79338.43,BR-002,63,1171.7,1462.6,commerce.mortgage_financing,,scheduled,doubtful,352,12415.05,43636.14
AA.ARRANGEMENT/1092329,LOAN,GHS,72591.69,137335.01,SBL-CUST-009186,LN.RET.MORT,1302,2018-07-12,2028-12-16,2026-08-29,0.2178,FLOATING,BOG_MPR,0.06,1,72591.69,BR-003,63,1889.76,1351.84,commerce.mortgage_financing,,scheduled,current,0,,362.96
AA.ARRANGEMENT/1094460,LOAN,GHS,244653.24,255320.65,SBL-CUST-001948,LN.RET.MORT,1302,2020-12-11,2038-04-11,2026-08-12,0.2178,FLOATING,BOG_MPR,0.06,1,244653.24,BR-008,62,367.7,4447.13,commerce.mortgage_financing,,scheduled,current,0,,1223.27
