# Sample Bank onboarding dataset — tariff_schedule (docs/data_engine/datasets/tariff_schedule.md).
# One row per official BSD15A / BSD15B tariff cell (form, sheet, row_key); charge_value is what the
# bank prints in that cell: text on DOMESTIC / INTL, a cedi amount on RANGE. Illustrative 2026 tariff-guide
# values for a Ghanaian universal bank; effective 2026-01-01. Not real bank data.
form,sheet,row_key,label,charge_value,charge_basis,min_ghs,max_ghs,currency,effective_from,notes
BSD15A,DOMESTIC,6.18,Non customers,"0.40% of value, min GHS 40, max GHS 300",percent,40,300,GHS,2026-01-01,
BSD15A,DOMESTIC,6.19,Minimum,GHS 40.00,flat,40,,GHS,2026-01-01,
BSD15A,DOMESTIC,6.20,Maximum,GHS 300.00,flat,,300,GHS,2026-01-01,
BSD15A,DOMESTIC,6.21,Postage,Actual postage recovered — see below,,,,GHS,2026-01-01,
BSD15A,DOMESTIC,6.22,Customer,GHS 10.00 per item,flat,10,10,GHS,2026-01-01,
BSD15A,DOMESTIC,6.23,Minimum,GHS 10.00,flat,10,,GHS,2026-01-01,
BSD15A,DOMESTIC,6.24,Maximum,GHS 10.00,flat,,10,GHS,2026-01-01,
BSD15A,DOMESTIC,6.25,Non customers,GHS 20.00 per item,flat,20,20,GHS,2026-01-01,
BSD15A,DOMESTIC,6.26,Minimum,GHS 20.00,flat,20,,GHS,2026-01-01,
BSD15A,DOMESTIC,6.27,Maximum,GHS 20.00,flat,,20,GHS,2026-01-01,
BSD15A,DOMESTIC,7.1,Commitemnt fee,"1.00% p.a. of facility amount (flat, on undrawn amount)",percent,,,GHS,2026-01-01,
BSD15A,DOMESTIC,7.2,Processing,"1.50% of value, min GHS 200 (of facility amount)",percent,200,,GHS,2026-01-01,
BSD15A,DOMESTIC,7.3,Property valuation Fee (open market value),"0.50% of open market value, min GHS 500 (external valuer's fee at cost)",percent,500,,GHS,2026-01-01,
BSD15A,DOMESTIC,7.4,Guarantee Commission,"1.50% p.a. of facility amount, min GHS 300, max GHS 15,000",percent,300,15000,GHS,2026-01-01,
BSD15A,DOMESTIC,7.5,Minimum,GHS 300.00,flat,300,,GHS,2026-01-01,
BSD15A,DOMESTIC,7.6,Maximum,"GHS 15,000.00",flat,,15000,GHS,2026-01-01,
BSD15A,DOMESTIC,7.7,Bid Security,"1.00% p.a. of facility amount, min GHS 300, max GHS 10,000",percent,300,10000,GHS,2026-01-01,
BSD15A,DOMESTIC,7.8,Bank Credit Letter (Letter of Intent),GHS 300.00 per letter,flat,300,300,GHS,2026-01-01,
BSD15A,DOMESTIC,7.9,Mobilisation Guarantee,"1.50% p.a. of facility amount, min GHS 300, max GHS 15,000",percent,300,15000,GHS,2026-01-01,
BSD15A,DOMESTIC,7.10,Retention Guaratee,"1.00% p.a. of facility amount, min GHS 300, max GHS 10,000",percent,300,10000,GHS,2026-01-01,
BSD15A,DOMESTIC,7.11,Performance Bond,"1.50% p.a. of facility amount, min GHS 300, max GHS 15,000",percent,300,15000,GHS,2026-01-01,
BSD15A,DOMESTIC,7.12,Default or restructured,"2.00% of value, min GHS 500 (of restructured amount)",percent,500,,GHS,2026-01-01,
BSD15A,DOMESTIC,7.13,Salary Credit Processing Fee,"1.00% of value, min GHS 50, max GHS 500",percent,50,500,GHS,2026-01-01,
BSD15A,DOMESTIC,7.14,Overdraft Processing or Renewal Fee,"1.50% of value, min GHS 200 (of limit)",percent,200,,GHS,2026-01-01,
BSD15A,DOMESTIC,7.15,Revolving Acceptance Credit,"1.00% p.a. of facility amount, min GHS 500",percent,500,,GHS,2026-01-01,
BSD15A,DOMESTIC,7.16,Arrangement Fee for Facilities,"0.50% of value, min GHS 500 (of facility amount)",percent,500,,GHS,2026-01-01,
BSD15A,DOMESTIC,8.1,Monthly,Free (one monthly statement; e-statement free),flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,8.2,Screen printed,GHS 5.00 per page,per_item,5,,GHS,2026-01-01,
BSD15A,DOMESTIC,8.3,Duplicate (per sheet),GHS 10.00 per sheet,per_item,10,,GHS,2026-01-01,
BSD15A,DOMESTIC,8.4,Certificate of Balance (per sheet),GHS 30.00 per sheet,per_item,30,,GHS,2026-01-01,
BSD15A,DOMESTIC,8.5,Enquiries bt 1 year and 3 yrs (per sheet),GHS 15.00 per sheet,per_item,15,,GHS,2026-01-01,
BSD15A,DOMESTIC,8.6,Enquiries 3yrs and above (per sheet),GHS 25.00 per sheet,per_item,25,,GHS,2026-01-01,
BSD15A,DOMESTIC,8.7,Auditors Questionnaire,GHS 150.00 per questionnaire,flat,150,150,GHS,2026-01-01,
BSD15A,DOMESTIC,9.1,Minimum,GHS 50.00 per cheque,flat,50,50,GHS,2026-01-01,
BSD15A,DOMESTIC,9.2,Maximum,GHS 100.00 per cheque,flat,100,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.1,Bank's cheques,Free (own cheques),flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,10.2,Minimum,Free,flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,10.3,Maximum,Free,flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,10.4,Country Clearing,"0.10% of value, min GHS 5, max GHS 100 (up-country clearing)",percent,5,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.5,Other banks cheques,Per cheque — see below,,,,GHS,2026-01-01,
BSD15A,DOMESTIC,10.6,Mimimum,GHS 2.00 per cheque,flat,2,2,GHS,2026-01-01,
BSD15A,DOMESTIC,10.7,Maximum,GHS 20.00 per cheque,flat,20,20,GHS,2026-01-01,
BSD15A,DOMESTIC,10.8,Other Bank's cheques marked,Per cheque — see below,,,,GHS,2026-01-01,
BSD15A,DOMESTIC,10.9,Commission on Drawer's A/c,"0.10% of value, min GHS 5, max GHS 100",percent,5,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.10,Minimum,GHS 5.00,flat,5,,GHS,2026-01-01,
BSD15A,DOMESTIC,10.11,Maximum,GHS 100.00,flat,,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.12,Interbranch Clearing (Bank's Cheques),Per cheque — see below,,,,GHS,2026-01-01,
BSD15A,DOMESTIC,10.13,Bank's branches,"Free (interbranch, own cheques)",flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,10.14,Other bank's Presentation: Marked Comm. A/c Drawer,"0.10% of value, min GHS 5, max GHS 100",percent,5,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.15,Minimum,GHS 5.00,flat,5,,GHS,2026-01-01,
BSD15A,DOMESTIC,10.16,Maximum,GHS 100.00,flat,,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.17,No commission mark (Comm borne by payee),"0.10% of value, min GHS 5, max GHS 100",percent,5,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.18,Minimum,GHS 5.00,flat,5,,GHS,2026-01-01,
BSD15A,DOMESTIC,10.19,Maximum,GHS 100.00,flat,,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.20,Interbranch Clearing (Other Bank's Cheques),Per cheque — see below,,,,GHS,2026-01-01,
BSD15A,DOMESTIC,10.21,No commission mark(Comm borne by payee),"0.10% of value, min GHS 5, max GHS 100",percent,5,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.22,minimum,GHS 5.00,flat,5,,GHS,2026-01-01,
BSD15A,DOMESTIC,10.23,maximum,GHS 100.00,flat,,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.24,Marked Comm.A/c Drawer,"0.10% of value, min GHS 5, max GHS 100",percent,5,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.25,minimum,GHS 5.00,flat,5,,GHS,2026-01-01,
BSD15A,DOMESTIC,10.26,maximum,GHS 100.00,flat,,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.27,Cheque Withdrawal Outside Drawee Branch by Phone/Radio,Per instruction — see below,,,,GHS,2026-01-01,
BSD15A,DOMESTIC,10.28,Customer,"0.25% of value, min GHS 20, max GHS 100",percent,20,100,GHS,2026-01-01,
BSD15A,DOMESTIC,10.29,Minimum,GHS 20.00,flat,20,,GHS,2026-01-01,
BSD15A,DOMESTIC,10.30,Maximum,GHS 100.00,flat,,100,GHS,2026-01-01,
BSD15A,DOMESTIC,11.1,minimum,GHS 20.00 per cheque,flat,20,20,GHS,2026-01-01,
BSD15A,DOMESTIC,11.2,maximum,GHS 100.00 per cheque,flat,100,100,GHS,2026-01-01,
BSD15A,DOMESTIC,12.1,minimum,GHS 20.00 per cheque,flat,20,20,GHS,2026-01-01,
BSD15A,DOMESTIC,12.2,maximum,GHS 100.00 per cheque,flat,100,100,GHS,2026-01-01,
BSD15A,DOMESTIC,13.1,Internal,GHS 5.00 per execution,per_item,5,20,GHS,2026-01-01,
BSD15A,DOMESTIC,13.2,minimum,GHS 5.00,flat,5,,GHS,2026-01-01,
BSD15A,DOMESTIC,13.3,maximum,GHS 20.00,flat,,20,GHS,2026-01-01,
BSD15A,DOMESTIC,13.4,External,GHS 15.00 per execution,per_item,15,50,GHS,2026-01-01,
BSD15A,DOMESTIC,13.5,minimum,GHS 15.00,flat,15,,GHS,2026-01-01,
BSD15A,DOMESTIC,13.6,maximum,GHS 50.00,flat,,50,GHS,2026-01-01,
BSD15A,DOMESTIC,14.1,minimum,GHS 2.00 per credit,flat,2,2,GHS,2026-01-01,
BSD15A,DOMESTIC,14.2,maximum,GHS 5.00 per credit,flat,5,5,GHS,2026-01-01,
BSD15A,DOMESTIC,14.3,Non Salary Transfers,GHS 10.00 per transfer,per_item,10,50,GHS,2026-01-01,
BSD15A,DOMESTIC,14.4,minimum,GHS 10.00,flat,10,,GHS,2026-01-01,
BSD15A,DOMESTIC,14.5,maximum,GHS 50.00,flat,,50,GHS,2026-01-01,
BSD15A,DOMESTIC,15.1,Internal,GHS 1.00 per employee record,per_item,1,500,GHS,2026-01-01,
BSD15A,DOMESTIC,15.2,minimum,GHS 1.00,flat,1,,GHS,2026-01-01,
BSD15A,DOMESTIC,15.3,maximum,GHS 500.00,flat,,500,GHS,2026-01-01,
BSD15A,DOMESTIC,15.4,External,GHS 2.00 per employee record,per_item,2,1000,GHS,2026-01-01,
BSD15A,DOMESTIC,15.5,minimum,GHS 2.00,flat,2,,GHS,2026-01-01,
BSD15A,DOMESTIC,15.6,maximum,"GHS 1,000.00",flat,,1000,GHS,2026-01-01,
BSD15A,DOMESTIC,16.1,minimum,GHS 1.00 per record,flat,1,1,GHS,2026-01-01,
BSD15A,DOMESTIC,16.2,maximum,GHS 3.00 per record,flat,3,3,GHS,2026-01-01,
BSD15A,DOMESTIC,17.1,minimum,GHS 20.00 per unpaid item,flat,20,20,GHS,2026-01-01,
BSD15A,DOMESTIC,17.2,maximum,GHS 30.00 per unpaid item,flat,30,30,GHS,2026-01-01,
BSD15A,DOMESTIC,18.1,Savings a/c,GHS 20.00 if closed within 6 months of opening; nil thereafter,flat,20,20,GHS,2026-01-01,
BSD15A,DOMESTIC,18.2,Current a/c,GHS 50.00 if closed within 6 months of opening; nil thereafter,flat,50,50,GHS,2026-01-01,
BSD15A,DOMESTIC,19.1,Envelopes (per quarter),GHS 100.00 per quarter,flat,100,100,GHS,2026-01-01,
BSD15A,DOMESTIC,19.2,Boxes (per quarter),GHS 250.00 per quarter,flat,250,250,GHS,2026-01-01,
BSD15A,DOMESTIC,19.3,Parcels,GHS 300.00 per quarter,flat,300,300,GHS,2026-01-01,
BSD15A,DOMESTIC,19.4,Others,GHS 300.00 per quarter (by arrangement),flat,300,300,GHS,2026-01-01,
BSD15A,DOMESTIC,20.1,Personal Accounts (25 leaflets),GHS 30.00 per book,flat,30,30,GHS,2026-01-01,
BSD15A,DOMESTIC,20.2,Personal Accounts (50 leaflets),GHS 60.00 per book,flat,60,60,GHS,2026-01-01,
BSD15A,DOMESTIC,20.3,Corporate Accounts (50 Leaflets),GHS 60.00 per book,flat,60,60,GHS,2026-01-01,
BSD15A,DOMESTIC,20.4,Corporate Accounts (100 Leaflets),GHS 120.00 per book,flat,120,120,GHS,2026-01-01,
BSD15A,DOMESTIC,20.5,Plus Stamp Duty ( per Leaflet),"GHS 0.10 per leaflet (statutory stamp duty, passed through)",per_item,0.1,,GHS,2026-01-01,
BSD15A,DOMESTIC,20.6,Cheque voucher retrieval,GHS 20.00 per voucher,flat,20,20,GHS,2026-01-01,
BSD15A,DOMESTIC,20.7,Sale of cheque leaflet,GHS 2.00 per leaflet (counter cheque),flat,2,2,GHS,2026-01-01,
BSD15A,DOMESTIC,20.8,Replacement of Lost Savings Pass Book,GHS 20.00 per book,flat,20,20,GHS,2026-01-01,
BSD15A,DOMESTIC,21.1,Issuing,GHS 20.00 per debit card,flat,20,20,GHS,2026-01-01,
BSD15A,DOMESTIC,21.2,Cash Machine withdrawal,Free on own ATMs; GHS 2.00 per withdrawal on other banks' ATMs (gh-link),flat,0,0,GHS,2026-01-01,
BSD15A,DOMESTIC,21.3,Replacement of lost/damage card,GHS 30.00 per card,flat,30,30,GHS,2026-01-01,
BSD15A,DOMESTIC,21.4,Replacement of PIN,GHS 10.00 per PIN re-issue,flat,10,10,GHS,2026-01-01,
BSD15A,DOMESTIC,21.5,Transaction fee per withdrawal,"GHS 1.00 per withdrawal (own ATM, above 8 free withdrawals a month)",per_item,1,,GHS,2026-01-01,
BSD15A,DOMESTIC,22.1,"Loading Fee: per ¢100,000",Not applicable,,,,GHS,2026-01-01,Sika Card scheme discontinued; bank issues e-zwich and scheme debit cards
BSD15A,DOMESTIC,22.2,minimum,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.3,maximum,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.4,First time purchaser,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.5,Lost/debased cards,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.6,Card replacement,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.7,Card extension,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.8,Sika Card - Merchants,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.9,License/Insurance Fee (per month),Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.10,Sika Card - Cash Back,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.11,"Above ¢10 million: per ¢100,000",Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.12,minimum,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.13,maximum,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.14,"Below ¢10 million: per ¢100,000",Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.15,minimum,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,DOMESTIC,22.16,maximum,Not applicable,,,,GHS,2026-01-01,product not offered by the bank
BSD15A,RANGE,S1.1,Initial Deposit,50,flat,,,GHS,2026-01-01,Regular Savings
BSD15A,RANGE,S1.2,Minimum Operating Bal,20,flat,,,GHS,2026-01-01,Regular Savings
BSD15A,RANGE,S1.3,Maintenance fee,0,flat,,,GHS,2026-01-01,Regular Savings — monthly maintenance
BSD15A,RANGE,S1.4,Maintenance fee,5,flat,,,GHS,2026-01-01,Regular Savings — penal maintenance when below minimum balance
BSD15A,RANGE,S1.5,Transaction fee,2,flat,,,GHS,2026-01-01,Regular Savings — penal fee per withdrawal above the free allowance
BSD15A,RANGE,S1.6,Dormant Account Maintenance Fee,5,flat,,,GHS,2026-01-01,Regular Savings — dormant account monthly fee
BSD15A,RANGE,S2.1,Initial Deposit,500,flat,,,GHS,2026-01-01,Premium Savings
BSD15A,RANGE,S2.2,Minimum Operating Bal,200,flat,,,GHS,2026-01-01,Premium Savings
BSD15A,RANGE,S2.3,Maintenance fee,0,flat,,,GHS,2026-01-01,Premium Savings — monthly maintenance
BSD15A,RANGE,S2.4,Maintenance fee,10,flat,,,GHS,2026-01-01,Premium Savings — penal maintenance when below minimum balance
BSD15A,RANGE,S2.5,Transaction fee,5,flat,,,GHS,2026-01-01,Premium Savings — penal fee per withdrawal above the free allowance
BSD15A,RANGE,S2.6,Dormant Account Maintenance Fee,5,flat,,,GHS,2026-01-01,Premium Savings — dormant account monthly fee
BSD15A,RANGE,S3.1,Initial Deposit,10,flat,,,GHS,2026-01-01,Youth / Student Savings
BSD15A,RANGE,S3.2,Minimum Operating Bal,5,flat,,,GHS,2026-01-01,Youth / Student Savings
BSD15A,RANGE,S3.3,Maintenance fee,0,flat,,,GHS,2026-01-01,Youth / Student Savings — monthly maintenance
BSD15A,RANGE,S3.4,Maintenance fee,2,flat,,,GHS,2026-01-01,Youth / Student Savings — penal maintenance when below minimum balance
BSD15A,RANGE,S3.5,Transaction fee,1,flat,,,GHS,2026-01-01,Youth / Student Savings — penal fee per withdrawal above the free allowance
BSD15A,RANGE,S3.6,Dormant Account Maintenance Fee,2,flat,,,GHS,2026-01-01,Youth / Student Savings — dormant account monthly fee
BSD15A,RANGE,S4.1,Initial Deposit,20,flat,,,GHS,2026-01-01,Susu Savings
BSD15A,RANGE,S4.2,Minimum Operating Bal,10,flat,,,GHS,2026-01-01,Susu Savings
BSD15A,RANGE,S4.3,Maintenance fee,0,flat,,,GHS,2026-01-01,Susu Savings — monthly maintenance
BSD15A,RANGE,S4.4,Maintenance fee,2,flat,,,GHS,2026-01-01,Susu Savings — penal maintenance when below minimum balance
BSD15A,RANGE,S4.5,Transaction fee,1,flat,,,GHS,2026-01-01,Susu Savings — penal fee per withdrawal above the free allowance
BSD15A,RANGE,S4.6,Dormant Account Maintenance Fee,2,flat,,,GHS,2026-01-01,Susu Savings — dormant account monthly fee
BSD15A,RANGE,S5.1,Initial Deposit,100,flat,,,GHS,2026-01-01,Target / Goal Savings
BSD15A,RANGE,S5.2,Minimum Operating Bal,50,flat,,,GHS,2026-01-01,Target / Goal Savings
BSD15A,RANGE,S5.3,Maintenance fee,0,flat,,,GHS,2026-01-01,Target / Goal Savings — monthly maintenance
BSD15A,RANGE,S5.4,Maintenance fee,10,flat,,,GHS,2026-01-01,Target / Goal Savings — penal maintenance when below minimum balance
BSD15A,RANGE,S5.5,Transaction fee,5,flat,,,GHS,2026-01-01,Target / Goal Savings — penal fee per withdrawal above the free allowance
BSD15A,RANGE,S5.6,Dormant Account Maintenance Fee,5,flat,,,GHS,2026-01-01,Target / Goal Savings — dormant account monthly fee
BSD15A,RANGE,S6.1,Initial Deposit,50,flat,,,GHS,2026-01-01,Salary Savings (card-linked)
BSD15A,RANGE,S6.2,Minimum Operating Bal,20,flat,,,GHS,2026-01-01,Salary Savings (card-linked)
BSD15A,RANGE,S6.3,Maintenance fee,0,flat,,,GHS,2026-01-01,Salary Savings (card-linked) — monthly maintenance
BSD15A,RANGE,S6.4,Maintenance fee,5,flat,,,GHS,2026-01-01,Salary Savings (card-linked) — penal maintenance when below minimum balance
BSD15A,RANGE,S6.5,Transaction fee,2,flat,,,GHS,2026-01-01,Salary Savings (card-linked) — penal fee per withdrawal above the free allowance
BSD15A,RANGE,S6.6,Cash Machine withdrawal fee,1,flat,,,GHS,2026-01-01,Salary Savings (card-linked) — own-ATM withdrawal fee beyond 8 free per month
BSD15A,RANGE,S6.7,Dormant Account Maintenance Fee,5,flat,,,GHS,2026-01-01,Salary Savings (card-linked) — dormant account monthly fee
BSD15A,RANGE,S7.1,Initial Deposit,500,flat,,,GHS,2026-01-01,Diaspora Savings
BSD15A,RANGE,S7.2,Minimum Operating Bal,200,flat,,,GHS,2026-01-01,Diaspora Savings
BSD15A,RANGE,S7.3,Maintenance fee,0,flat,,,GHS,2026-01-01,Diaspora Savings — monthly maintenance
BSD15A,RANGE,S7.4,Maintenance fee,10,flat,,,GHS,2026-01-01,Diaspora Savings — penal maintenance when below minimum balance
BSD15A,RANGE,S7.5,Transaction fee,5,flat,,,GHS,2026-01-01,Diaspora Savings — penal fee per withdrawal above the free allowance
BSD15A,RANGE,S7.6,Dormant Account Maintenance Fee,10,flat,,,GHS,2026-01-01,Diaspora Savings — dormant account monthly fee
BSD15A,RANGE,C1.1,Initial Deposit,100,flat,,,GHS,2026-01-01,Personal Current Account
BSD15A,RANGE,C1.2,Minimum Operating Bal,50,flat,,,GHS,2026-01-01,Personal Current Account
BSD15A,RANGE,C1.3,Maintenance fee,10,flat,,,GHS,2026-01-01,Personal Current — monthly maintenance
BSD15A,RANGE,C1.4,Transaction fee per non clearing debit,1,flat,,,GHS,2026-01-01,Personal Current — per non-clearing debit
BSD15A,RANGE,C1.5,"Transaction fee for cheques below ¢500,000",2,flat,,,GHS,2026-01-01,"Personal Current — per cheque below GHS 50 (template: ¢500,000)"
BSD15A,RANGE,C1.6,Cash Machine withdrawal fee,1,flat,,,GHS,2026-01-01,Personal Current — own-ATM withdrawal fee beyond 8 free per month
BSD15A,RANGE,C1.7,COT Applicable,0,flat,,,GHS,2026-01-01,Personal Current — COT not applicable (0 = No)
BSD15A,RANGE,C1.8,Dormant Account Maintenance Fee,10,flat,,,GHS,2026-01-01,Personal Current — dormant account monthly fee
BSD15A,RANGE,C2.1,Initial Deposit,500,flat,,,GHS,2026-01-01,SME Current Account
BSD15A,RANGE,C2.2,Minimum Operating Bal,200,flat,,,GHS,2026-01-01,SME Current Account
BSD15A,RANGE,C2.3,Maintenance fee,25,flat,,,GHS,2026-01-01,SME Current — monthly maintenance
BSD15A,RANGE,C2.4,Transaction fee per non clearing debit,1,flat,,,GHS,2026-01-01,SME Current — per non-clearing debit
BSD15A,RANGE,C2.5,Cash Machine withdrawal fee,1,flat,,,GHS,2026-01-01,SME Current — own-ATM withdrawal fee beyond 8 free per month
BSD15A,RANGE,C2.6,Transaction fee,5,flat,,,GHS,2026-01-01,SME Current — penal transaction fee when below minimum balance
BSD15A,RANGE,C2.7,COT Applicable,1,flat,,,GHS,2026-01-01,"SME Current — COT applicable (1 = Yes; GHS 1.00 per GHS 1,000 debit turnover)"
BSD15A,RANGE,C2.8,Dormant Account Maintenance Fee,15,flat,,,GHS,2026-01-01,SME Current — dormant account monthly fee
BSD15A,RANGE,C3.1,Initial Deposit,2000,flat,,,GHS,2026-01-01,Corporate Current Account
BSD15A,RANGE,C3.2,Minimum Operating Bal,1000,flat,,,GHS,2026-01-01,Corporate Current Account
