# Sample Bank EOD ladder — liquid-asset book (SECURITY_HOLDING + INTERBANK_PLACEMENT, API_PUSH source) as at close of business 2026-06-24 (Wednesday); push with as_of_date=2026-06-24. One rung of the daily position ladder BSD1 reads; the deposit and loan sub-ledgers are not in this file.
source_reference,position_type,currency,balance,notional,counterparty_reference,product_code,gl_account_code,origination_date,contractual_maturity,next_repricing_date,interest_rate,rate_type,attributes.balance_ghs,attributes.branch_id,attributes.months_on_book,attributes.isin
MM.MONEY.MARKET/4006487,INTERBANK_PLACEMENT,GHS,8539709.54,8539709.54,SBL-BANK-017042,IB.PLACE.GHS,1101,2026-06-06,2026-08-26,2026-08-26,0.1401,FIXED,8539709.54,BR-001,0,
MM.MONEY.MARKET/4006488,INTERBANK_PLACEMENT,GHS,372171.29,372171.29,SBL-BANK-017051,IB.PLACE.GHS,1101,2026-05-17,2026-08-10,2026-08-10,0.1411,FIXED,372171.29,BR-001,0,
MM.MONEY.MARKET/4006490,INTERBANK_PLACEMENT,USD,412760.19,412760.19,SBL-BANK-017050,IB.PLACE.USD,1102,2026-05-28,2026-07-17,2026-07-17,0.0508,FIXED,5341118.58,BR-001,0,
MM.MONEY.MARKET/4006491,INTERBANK_PLACEMENT,USD,641219.40,641219.40,SBL-BANK-017044,IB.PLACE.USD,1102,2026-06-02,2026-08-21,2026-08-21,0.0522,FIXED,8297381.72,BR-001,0,
MM.MONEY.MARKET/4006493,INTERBANK_PLACEMENT,USD,456923.09,456923.09,SBL-BANK-017049,IB.PLACE.USD,1102,2026-05-30,2026-07-08,2026-07-08,0.0526,FIXED,5912586.69,BR-001,0,
MM.MONEY.MARKET/4006494,INTERBANK_PLACEMENT,USD,249800.82,249800.82,SBL-BANK-017047,IB.PLACE.USD,1102,2026-05-14,2026-07-20,2026-07-20,0.0543,FIXED,3232423.65,BR-001,0,
MM.MONEY.MARKET/4006495,INTERBANK_PLACEMENT,USD,146012.69,146012.69,SBL-BANK-017051,IB.PLACE.USD,1102,2026-05-11,2026-07-23,2026-07-23,0.0546,FIXED,1889404.82,BR-001,0,
MM.MONEY.MARKET/4006496,INTERBANK_PLACEMENT,USD,453188.36,453188.36,SBL-BANK-017045,IB.PLACE.USD,1102,2026-05-03,2026-07-19,2026-07-19,0.056,FIXED,5864259.27,BR-001,0,
MM.MONEY.MARKET/4006498,INTERBANK_PLACEMENT,USD,67528.81,67528.81,SBL-BANK-017042,IB.PLACE.USD,1102,2026-06-05,2026-08-02,2026-08-02,0.0515,FIXED,873823.08,BR-001,0,
MM.MONEY.MARKET/4006499,INTERBANK_PLACEMENT,USD,901429.41,901429.41,SBL-BANK-017041,IB.PLACE.USD,1102,2026-06-13,2026-07-06,2026-07-06,0.0511,FIXED,11664500.33,BR-001,0,
MM.MONEY.MARKET/4006500,INTERBANK_PLACEMENT,USD,613341.00,613341.00,SBL-BANK-017049,IB.PLACE.USD,1102,2026-06-03,2026-07-24,2026-07-24,0.0527,FIXED,7936635.10,BR-001,0,
SECURITY.POSITION/3000420,SECURITY_HOLDING,GHS,47477.18,47477.18,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-11-13,2026-09-22,2026-09-22,0.2419,FIXED,47477.18,BR-001,112,GHGGB5249229
SECURITY.POSITION/3000612,SECURITY_HOLDING,GHS,415.09,415.09,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-06-14,2027-04-23,2027-04-23,0.2361,FIXED,415.09,BR-001,108,GHGGB8250024
SECURITY.POSITION/3000618,SECURITY_HOLDING,GHS,466.70,466.70,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-01-08,2026-11-17,2026-11-17,0.2311,FIXED,466.70,BR-001,108,GHGGB2196990
SECURITY.POSITION/3000673,SECURITY_HOLDING,GHS,139399.26,139399.26,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-05-16,2027-03-25,2027-03-25,0.2378,FIXED,139399.26,BR-001,107,GHGGB8062535
SECURITY.POSITION/3000833,SECURITY_HOLDING,GHS,54791.39,54791.39,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-03-21,2027-01-28,2027-01-28,0.2384,FIXED,54791.39,BR-001,104,GHGGB3639830
SECURITY.POSITION/3000836,SECURITY_HOLDING,GHS,70820.13,70820.13,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-01-03,2026-11-12,2026-11-12,0.2374,FIXED,70820.13,BR-001,104,GHGGB4288520
SECURITY.POSITION/3000841,SECURITY_HOLDING,GHS,142403.46,142403.46,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-09-08,2026-07-18,2026-07-18,0.238,FIXED,142403.46,BR-001,104,GHGGB9351939
SECURITY.POSITION/3000890,SECURITY_HOLDING,GHS,135055.31,135055.31,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-10-27,2026-09-05,2026-09-05,0.2466,FIXED,135055.31,BR-001,103,GHGGB7073739
SECURITY.POSITION/3000942,SECURITY_HOLDING,GHS,45644.95,45644.95,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-02-08,2026-12-18,2026-12-18,0.2434,FIXED,45644.95,BR-001,102,GHGGB4318998
SECURITY.POSITION/3001000,SECURITY_HOLDING,GHS,76694.64,76694.64,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-09-03,2027-07-13,2027-07-13,0.2335,FIXED,76694.64,BR-001,101,GHGGB1992875
SECURITY.POSITION/3001003,SECURITY_HOLDING,GHS,111646.67,111646.67,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-01-11,2026-11-20,2026-11-20,0.2274,FIXED,111646.67,BR-001,101,GHGGB2279266
SECURITY.POSITION/3001007,SECURITY_HOLDING,GHS,11694.18,11694.18,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-02-06,2026-12-16,2026-12-16,0.2283,FIXED,11694.18,BR-001,101,GHGGB8437911
SECURITY.POSITION/3001196,SECURITY_HOLDING,GHS,18230.75,18230.75,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-11-28,2027-10-07,2027-10-07,0.2318,FIXED,18230.75,BR-001,97,GHGGB3590864
SECURITY.POSITION/3001312,SECURITY_HOLDING,GHS,151800.93,151800.93,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-05-28,2028-04-05,2028-04-05,0.226,FIXED,151800.93,BR-001,95,GHGGB7088538
SECURITY.POSITION/3001315,SECURITY_HOLDING,GHS,93892.20,93892.20,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-07-31,2027-06-09,2027-06-09,0.2275,FIXED,93892.20,BR-001,95,GHGGB7145780
SECURITY.POSITION/3001317,SECURITY_HOLDING,GHS,44930.40,44930.40,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-02-20,2026-12-30,2026-12-30,0.232,FIXED,44930.40,BR-001,95,GHGGB1719998
SECURITY.POSITION/3001424,SECURITY_HOLDING,GHS,155775.96,155775.96,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-03-13,2028-01-20,2028-01-20,0.2257,FIXED,155775.96,BR-001,93,GHGGB2562504
SECURITY.POSITION/3001426,SECURITY_HOLDING,GHS,18500.71,18500.71,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-09-02,2026-07-12,2026-07-12,0.2337,FIXED,18500.71,BR-001,93,GHGGB5698052
SECURITY.POSITION/3001428,SECURITY_HOLDING,GHS,119875.69,119875.69,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-01-27,2026-12-06,2026-12-06,0.2345,FIXED,119875.69,BR-001,93,GHGGB2285782
SECURITY.POSITION/3001472,SECURITY_HOLDING,GHS,71853.57,71853.57,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-06-15,2027-04-24,2027-04-24,0.2284,FIXED,71853.57,BR-001,92,GHGGB6208828
SECURITY.POSITION/3001536,SECURITY_HOLDING,GHS,4688.67,4688.67,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-07-04,2028-05-12,2028-05-12,0.2303,FIXED,4688.67,BR-001,91,GHGGB7094058
SECURITY.POSITION/3001539,SECURITY_HOLDING,GHS,30605.04,30605.04,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-01-06,2026-11-15,2026-11-15,0.2263,FIXED,30605.04,BR-001,91,GHGGB5274469
SECURITY.POSITION/3001589,SECURITY_HOLDING,GHS,132433.08,132433.08,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-03-12,2027-01-19,2027-01-19,0.2322,FIXED,132433.08,BR-001,90,GHGGB7837603
SECURITY.POSITION/3001594,SECURITY_HOLDING,GHS,260764.65,260764.65,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-11-16,2026-09-25,2026-09-25,0.2341,FIXED,260764.65,BR-001,90,GHGGB9234453
SECURITY.POSITION/3001655,SECURITY_HOLDING,GHS,76747.47,76747.47,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-04-26,2028-03-04,2028-03-04,0.2304,FIXED,76747.47,BR-001,89,GHGGB9016005
SECURITY.POSITION/3001657,SECURITY_HOLDING,GHS,41547.48,41547.48,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-10-08,2028-08-16,2028-08-16,0.2365,FIXED,41547.48,BR-001,89,GHGGB4873235
SECURITY.POSITION/3001659,SECURITY_HOLDING,GHS,10137.38,10137.38,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-08-22,2027-07-01,2027-07-01,0.2304,FIXED,10137.38,BR-001,89,GHGGB8251290
SECURITY.POSITION/3001723,SECURITY_HOLDING,GHS,46157.13,46157.13,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-03-04,2028-01-11,2028-01-11,0.2301,FIXED,46157.13,BR-001,88,GHGGB9720041
SECURITY.POSITION/3001725,SECURITY_HOLDING,GHS,96281.89,96281.89,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-09-20,2026-07-30,2026-07-30,0.2323,FIXED,96281.89,BR-001,88,GHGGB2110132
SECURITY.POSITION/3001777,SECURITY_HOLDING,GHS,23872.54,23872.54,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-05-10,2027-03-19,2027-03-19,0.2345,FIXED,23872.54,BR-001,87,GHGGB8432546
SECURITY.POSITION/3001778,SECURITY_HOLDING,GHS,96954.52,96954.52,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-02-15,2027-12-25,2027-12-25,0.2347,FIXED,96954.52,BR-001,87,GHGGB5911826
SECURITY.POSITION/3001779,SECURITY_HOLDING,GHS,44379.30,44379.30,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-08-22,2028-06-30,2028-06-30,0.2358,FIXED,44379.30,BR-001,87,GHGGB2580412
SECURITY.POSITION/3001783,SECURITY_HOLDING,GHS,55949.40,55949.40,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-12-28,2026-11-06,2026-11-06,0.2328,FIXED,55949.40,BR-001,87,GHGGB1730733
SECURITY.POSITION/3001784,SECURITY_HOLDING,GHS,36253.46,36253.46,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-03-27,2028-02-03,2028-02-03,0.2272,FIXED,36253.46,BR-001,87,GHGGB8394170
SECURITY.POSITION/3001786,SECURITY_HOLDING,GHS,25860.71,25860.71,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-12-27,2028-11-04,2028-11-04,0.2324,FIXED,25860.71,BR-001,87,GHGGB4755412
SECURITY.POSITION/3001846,SECURITY_HOLDING,GHS,119616.53,119616.53,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-03-30,2027-02-06,2027-02-06,0.225,FIXED,119616.53,BR-001,86,GHGGB5054631
SECURITY.POSITION/3001848,SECURITY_HOLDING,GHS,142517.44,142517.44,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-02-06,2027-12-16,2027-12-16,0.2264,FIXED,142517.44,BR-001,86,GHGGB9089226
SECURITY.POSITION/3001898,SECURITY_HOLDING,GHS,352835.63,352835.63,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-10-21,2026-08-30,2026-08-30,0.2284,FIXED,352835.63,BR-001,85,GHGGB1639212
SECURITY.POSITION/3001901,SECURITY_HOLDING,GHS,70162.56,70162.56,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-09-29,2026-08-08,2026-08-08,0.2359,FIXED,70162.56,BR-001,85,GHGGB8435810
SECURITY.POSITION/3001903,SECURITY_HOLDING,GHS,90139.17,90139.17,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-04-12,2027-02-19,2027-02-19,0.2364,FIXED,90139.17,BR-001,85,GHGGB1558345
SECURITY.POSITION/3002000,SECURITY_HOLDING,GHS,36263.28,36263.28,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-08-05,2027-06-14,2027-06-14,0.2272,FIXED,36263.28,BR-001,83,GHGGB1282288
SECURITY.POSITION/3002001,SECURITY_HOLDING,GHS,241195.00,241195.00,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-12-18,2028-10-26,2028-10-26,0.2303,FIXED,241195.00,BR-001,83,GHGGB2928270
SECURITY.POSITION/3002002,SECURITY_HOLDING,GHS,70181.07,70181.07,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-03-24,2029-01-30,2029-01-30,0.2363,FIXED,70181.07,BR-001,83,GHGGB2282675
SECURITY.POSITION/3002003,SECURITY_HOLDING,GHS,33911.63,33911.63,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-01-27,2028-12-05,2028-12-05,0.2339,FIXED,33911.63,BR-001,83,GHGGB9079099
SECURITY.POSITION/3002010,SECURITY_HOLDING,GHS,26702.44,26702.44,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-03-10,2028-01-17,2028-01-17,0.2302,FIXED,26702.44,BR-001,83,GHGGB5386250
SECURITY.POSITION/3002056,SECURITY_HOLDING,GHS,146967.96,146967.96,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-07-21,2028-05-29,2028-05-29,0.2298,FIXED,146967.96,BR-001,82,GHGGB5697021
SECURITY.POSITION/3002060,SECURITY_HOLDING,GHS,169448.37,169448.37,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-06-22,2029-04-30,2029-04-30,0.2359,FIXED,169448.37,BR-001,82,GHGGB3148557
SECURITY.POSITION/3002109,SECURITY_HOLDING,GHS,1238070.19,1238070.19,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-02-19,2027-12-29,2027-12-29,0.2316,FIXED,1238070.19,BR-001,81,GHGGB6147320
SECURITY.POSITION/3002161,SECURITY_HOLDING,GHS,278095.25,278095.25,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-05-24,2028-04-01,2028-04-01,0.2317,FIXED,278095.25,BR-001,80,GHGGB5801981
SECURITY.POSITION/3002164,SECURITY_HOLDING,GHS,116248.39,116248.39,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-06-06,2028-04-14,2028-04-14,0.238,FIXED,116248.39,BR-001,80,GHGGB1448331
SECURITY.POSITION/3002167,SECURITY_HOLDING,GHS,91289.73,91289.73,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-03-03,2027-01-10,2027-01-10,0.2368,FIXED,91289.73,BR-001,80,GHGGB6838354
SECURITY.POSITION/3002168,SECURITY_HOLDING,GHS,58005.48,58005.48,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-04-27,2029-03-05,2029-03-05,0.2302,FIXED,58005.48,BR-001,80,GHGGB7226779
SECURITY.POSITION/3002218,SECURITY_HOLDING,GHS,24827.37,24827.37,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-09-20,2028-07-29,2028-07-29,0.2323,FIXED,24827.37,BR-001,79,GHGGB2268060
SECURITY.POSITION/3002219,SECURITY_HOLDING,GHS,60320.09,60320.09,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-09-16,2028-07-25,2028-07-25,0.234,FIXED,60320.09,BR-001,79,GHGGB5738416
SECURITY.POSITION/3002221,SECURITY_HOLDING,GHS,54392.50,54392.50,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-03-20,2029-01-26,2029-01-26,0.2306,FIXED,54392.50,BR-001,79,GHGGB5218673
SECURITY.POSITION/3002223,SECURITY_HOLDING,GHS,96254.12,96254.12,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-06-16,2027-04-25,2027-04-25,0.2345,FIXED,96254.12,BR-001,79,GHGGB6619582
SECURITY.POSITION/3002274,SECURITY_HOLDING,GHS,85883.49,85883.49,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-08-25,2027-07-04,2027-07-04,0.2336,FIXED,85883.49,BR-001,78,GHGGB9540323
SECURITY.POSITION/3002276,SECURITY_HOLDING,GHS,25143.82,25143.82,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-07-16,2029-05-24,2029-05-24,0.2252,FIXED,25143.82,BR-001,78,GHGGB6281313
SECURITY.POSITION/3002329,SECURITY_HOLDING,GHS,41317.40,41317.40,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-05-07,2029-03-15,2029-03-15,0.2137,FIXED,41317.40,BR-001,77,GHGGB4267959
SECURITY.POSITION/3002334,SECURITY_HOLDING,GHS,18706.56,18706.56,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-12-22,2027-10-31,2027-10-31,0.2114,FIXED,18706.56,BR-001,77,GHGGB7498136
SECURITY.POSITION/3002337,SECURITY_HOLDING,GHS,9229.51,9229.51,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-01-20,2026-11-29,2026-11-29,0.2089,FIXED,9229.51,BR-001,77,GHGGB8118360
SECURITY.POSITION/3002388,SECURITY_HOLDING,GHS,102339.56,102339.56,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-09-02,2026-07-12,2026-07-12,0.2097,FIXED,102339.56,BR-001,76,GHGGB7657348
SECURITY.POSITION/3002390,SECURITY_HOLDING,GHS,72803.24,72803.24,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-11-01,2026-09-10,2026-09-10,0.2156,FIXED,72803.24,BR-001,76,GHGGB7490082
SECURITY.POSITION/3002392,SECURITY_HOLDING,GHS,129464.18,129464.18,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-04-30,2029-03-08,2029-03-08,0.2111,FIXED,129464.18,BR-001,76,GHGGB1841361
SECURITY.POSITION/3002395,SECURITY_HOLDING,GHS,67173.48,67173.48,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-08-27,2027-07-06,2027-07-06,0.2102,FIXED,67173.48,BR-001,76,GHGGB3247649
SECURITY.POSITION/3002496,SECURITY_HOLDING,GHS,36113.29,36113.29,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-07-25,2029-06-02,2029-06-02,0.2115,FIXED,36113.29,BR-001,74,GHGGB7702105
SECURITY.POSITION/3002639,SECURITY_HOLDING,GHS,55800.80,55800.80,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-09-22,2028-07-31,2028-07-31,0.2125,FIXED,55800.80,BR-001,71,GHGGB2642109
SECURITY.POSITION/3002640,SECURITY_HOLDING,GHS,48978.67,48978.67,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-03-03,2029-01-09,2029-01-09,0.2106,FIXED,48978.67,BR-001,71,GHGGB4149074
SECURITY.POSITION/3002642,SECURITY_HOLDING,GHS,96500.11,96500.11,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-06-11,2027-04-20,2027-04-20,0.2123,FIXED,96500.11,BR-001,71,GHGGB7862476
SECURITY.POSITION/3002644,SECURITY_HOLDING,GHS,42640.19,42640.19,SBL-SOV-017052,SEC.BOND.10Y,1206,2020-05-12,2030-03-21,2030-03-21,0.2123,FIXED,42640.19,BR-001,71,GHGGB4458089
SECURITY.POSITION/3002646,SECURITY_HOLDING,GHS,5172.57,5172.57,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-10-25,2028-09-02,2028-09-02,0.2094,FIXED,5172.57,BR-001,71,GHGGB8216733
SECURITY.POSITION/3002695,SECURITY_HOLDING,GHS,47070.25,47070.25,SBL-SOV-017052,SEC.BOND.10Y,1206,2016-10-23,2026-09-01,2026-09-01,0.2093,FIXED,47070.25,BR-001,70,GHGGB2669218
SECURITY.POSITION/3002751,SECURITY_HOLDING,GHS,15363.36,15363.36,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-10-23,2028-08-31,2028-08-31,0.2173,FIXED,15363.36,BR-001,69,GHGGB3420563
SECURITY.POSITION/3002752,SECURITY_HOLDING,GHS,11665.37,11665.37,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-03-28,2028-02-04,2028-02-04,0.2084,FIXED,11665.37,BR-001,69,GHGGB8630207
SECURITY.POSITION/3002754,SECURITY_HOLDING,GHS,13863.78,13863.78,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-05-19,2029-03-27,2029-03-27,0.2113,FIXED,13863.78,BR-001,69,GHGGB5644299
SECURITY.POSITION/3002755,SECURITY_HOLDING,GHS,10680.74,10680.74,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-08-20,2028-06-28,2028-06-28,0.2147,FIXED,10680.74,BR-001,69,GHGGB3379382
SECURITY.POSITION/3002756,SECURITY_HOLDING,GHS,10644.79,10644.79,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-02-02,2028-12-11,2028-12-11,0.2108,FIXED,10644.79,BR-001,69,GHGGB3230241
SECURITY.POSITION/3002811,SECURITY_HOLDING,GHS,50405.14,50405.14,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-07-24,2028-06-01,2028-06-01,0.2119,FIXED,50405.14,BR-001,68,GHGGB9934214
SECURITY.POSITION/3002812,SECURITY_HOLDING,GHS,17648.22,17648.22,SBL-SOV-017052,SEC.BOND.10Y,1206,2020-06-12,2030-04-21,2030-04-21,0.2208,FIXED,17648.22,BR-001,68,GHGGB4640377
SECURITY.POSITION/3002813,SECURITY_HOLDING,GHS,920.23,920.23,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-01-08,2026-11-17,2026-11-17,0.2158,FIXED,920.23,BR-001,68,GHGGB9637187
SECURITY.POSITION/3002814,SECURITY_HOLDING,GHS,28260.54,28260.54,SBL-SOV-017052,SEC.BOND.10Y,1206,2020-05-22,2030-03-31,2030-03-31,0.2095,FIXED,28260.54,BR-001,68,GHGGB1305258
SECURITY.POSITION/3002870,SECURITY_HOLDING,GHS,28174.60,28174.60,SBL-SOV-017052,SEC.BOND.10Y,1206,2020-01-25,2029-12-03,2029-12-03,0.2123,FIXED,28174.60,BR-001,67,GHGGB9427948
SECURITY.POSITION/3002872,SECURITY_HOLDING,GHS,19498.93,19498.93,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-11-18,2029-09-26,2029-09-26,0.2114,FIXED,19498.93,BR-001,67,GHGGB9746262
SECURITY.POSITION/3002874,SECURITY_HOLDING,GHS,42635.05,42635.05,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-04-08,2028-02-15,2028-02-15,0.2151,FIXED,42635.05,BR-001,67,GHGGB3866483
SECURITY.POSITION/3002927,SECURITY_HOLDING,GHS,43115.85,43115.85,SBL-SOV-017052,SEC.BOND.10Y,1206,2017-05-18,2027-03-27,2027-03-27,0.2097,FIXED,43115.85,BR-001,66,GHGGB2805471
SECURITY.POSITION/3002928,SECURITY_HOLDING,GHS,5666.98,5666.98,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-04-18,2029-02-24,2029-02-24,0.2075,FIXED,5666.98,BR-001,66,GHGGB2353330
SECURITY.POSITION/3002930,SECURITY_HOLDING,GHS,175643.03,175643.03,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-04-19,2028-02-26,2028-02-26,0.2072,FIXED,175643.03,BR-001,66,GHGGB7220323
SECURITY.POSITION/3002991,SECURITY_HOLDING,GHS,78429.87,78429.87,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-01-19,2027-11-28,2027-11-28,0.207,FIXED,78429.87,BR-001,65,GHGGB3136204
SECURITY.POSITION/3002996,SECURITY_HOLDING,GHS,5983.11,5983.11,SBL-SOV-017052,SEC.BOND.10Y,1206,2020-03-26,2030-02-02,2030-02-02,0.2082,FIXED,5983.11,BR-001,65,GHGGB6689260
SECURITY.POSITION/3002997,SECURITY_HOLDING,GHS,346477.07,346477.07,SBL-SOV-017052,SEC.BOND.10Y,1206,2018-12-10,2028-10-18,2028-10-18,0.2123,FIXED,346477.07,BR-001,65,GHGGB6493776
SECURITY.POSITION/3002998,SECURITY_HOLDING,GHS,378786.17,378786.17,SBL-SOV-017052,SEC.BOND.10Y,1206,2019-11-12,2029-09-20,2029-09-20,0.2102,FIXED,378786.17,BR-001,65,GHGGB4400886
